1b#ced#cypl9614_s_jd/F  -0.327 0.775  -0.228 0.991  -0.195 1.180  -0.161 0.935  -0.124 0.690  -0.096 0.442  -0.058 0.195  -0.033 -0.054  -0.030 -0.304  -0.030 -0.555  -0.030 -0.805  -0.063 -1.053  -0.085 -1.302  -0.101 -1.551  -0.129 -1.798  -0.167 -1.880  -0.183 -1.630  -0.199 -1.380  -0.214 -1.130  -0.230 -0.880  -0.245 -0.630  -0.261 -0.380  -0.277 -0.130  -0.292 0.120  -0.308 0.370  -0.324 0.620  -0.426 0.841  -0.586 1.030  -0.622 1.171  -0.380 1.204  -0.131 1.220  0.117 1.237  0.368 1.237  0.618 1.241  0.866 1.270  0.837 1.101  0.719 0.880  0.602 0.659  0.485 0.437  0.368 0.216  0.209 0.025  0.017 -0.134  -0.189 -0.276  -0.316 -0.488  -0.307 -0.623  -0.070 -0.642  0.180 -0.642  0.430 -0.636  0.678 -0.609  0.926 -0.576
3#ced#cada7032_s_ie/F  -0.616 0.239  -0.698 0.332  -0.722 0.449  -0.549 0.510  -0.362 0.565  -0.173 0.612  0.014 0.667  0.199 0.728  0.389 0.769  0.574 0.830  0.762 0.879  0.948 0.934  1.136 0.986  1.274 1.035  1.112 0.981  0.934 0.902  0.756 0.823  0.578 0.744  0.400 0.664  0.221 0.585  0.043 0.506  -0.142 0.450  -0.323 0.382  -0.515 0.356  -0.685 0.286  -0.803 0.208  -0.775 0.020  -0.730 -0.166  -0.700 -0.357  -0.686 -0.550  -0.674 -0.743  -0.663 -0.937  -0.639 -1.129  -0.639 -1.324  -0.569 -1.489  -0.558 -1.455  -0.579 -1.261  -0.601 -1.067  -0.587 -0.899  -0.459 -0.771  -0.323 -0.653  -0.150 -0.578  0.037 -0.531  0.225 -0.484  0.416 -0.446  0.603 -0.391  0.791 -0.360  0.982 -0.336  1.171 -0.291  1.355 -0.228
3#ced#cada7032_s_ie/F  -0.169 0.499  -0.306 0.528  -0.412 0.581  -0.477 0.718  -0.550 0.774  -0.407 0.844  -0.233 0.906  -0.055 0.958  0.123 1.009  0.305 1.028  0.488 1.045  0.669 1.073  0.850 1.100  1.024 1.073  0.905 0.968  0.727 0.935  0.549 0.894  0.368 0.870  0.188 0.837  0.008 0.800  -0.173 0.772  -0.342 0.709  -0.469 0.588  -0.497 0.414  -0.497 0.229  -0.497 0.044  -0.497 -0.141  -0.469 -0.322  -0.436 -0.502  -0.412 -0.683  -0.355 -0.859  -0.329 -1.041  -0.262 -1.213  -0.224 -1.390  -0.182 -1.562  -0.216 -1.526  -0.293 -1.358  -0.369 -1.189  -0.436 -1.023  -0.340 -0.872  -0.388 -0.783  -0.252 -0.811  -0.079 -0.780  0.100 -0.744  0.272 -0.680  0.451 -0.635  0.632 -0.596  0.806 -0.534  0.988 -0.497  1.168 -0.456
2#app#app12#app1295/F  -0.592 0.366  -0.592 0.150  -0.592 -0.066  -0.559 -0.274  -0.476 -0.471  -0.476 -0.687  -0.476 -0.903  -0.476 -1.118  -0.476 -1.334  -0.476 -1.550  -0.537 -1.705  -0.592 -1.544  -0.592 -1.328  -0.592 -1.112  -0.592 -0.896  -0.592 -0.680  -0.592 -0.464  -0.557 -0.256  -0.476 -0.059  -0.476 0.157  -0.476 0.372  -0.476 0.588  -0.383 0.782  -0.361 0.993  -0.361 1.209  -0.246 1.262  -0.158 1.083  -0.016 0.993  0.147 0.941  0.319 0.835  0.531 0.826  0.747 0.826  0.904 0.885  1.064 0.941  1.249 0.910  1.144 0.747  0.971 0.617  0.799 0.488  0.626 0.358  0.453 0.229  0.281 0.099  0.108 -0.030  -0.065 -0.160  -0.037 -0.304  0.170 -0.325  0.386 -0.325  0.602 -0.325  0.817 -0.325  0.918 -0.210  1.134 -0.210
2#apb#apb05#app0538/F  -0.319 0.675  -0.373 0.593  -0.352 0.359  -0.352 0.124  -0.352 -0.111  -0.359 -0.345  -0.379 -0.580  -0.405 -0.813  -0.436 -1.046  -0.484 -1.276  -0.545 -1.503  -0.616 -1.675  -0.624 -1.442  -0.660 -1.210  -0.696 -0.978  -0.732 -0.746  -0.768 -0.513  -0.804 -0.281  -0.841 -0.049  -0.877 0.183  -0.913 0.415  -0.799 0.568  -0.568 0.610  -0.337 0.650  -0.105 0.689  0.124 0.742  0.352 0.797  0.580 0.854  0.806 0.918  1.028 0.995  1.255 1.056  1.485 1.103  1.360 0.985  1.174 0.841  0.989 0.696  0.804 0.551  0.619 0.406  0.434 0.262  0.249 0.117  0.064 -0.028  -0.122 -0.173  -0.307 -0.317  -0.435 -0.447  -0.212 -0.442  0.013 -0.375  0.236 -0.300  0.463 -0.241  0.688 -0.175  0.911 -0.100  1.134 -0.026
1b#ced#ddjh4871_s_03/F  -0.146 0.932  -0.277 0.885  -0.332 0.667  -0.352 0.443  -0.372 0.219  -0.357 -0.006  -0.357 -0.231  -0.338 -0.456  -0.338 -0.681  -0.328 -0.907  -0.319 -1.132  -0.300 -1.356  -0.300 -1.582  -0.281 -1.806  -0.282 -1.741  -0.284 -1.516  -0.286 -1.290  -0.288 -1.065  -0.290 -0.839  -0.292 -0.613  -0.294 -0.388  -0.296 -0.162  -0.298 0.064  -0.300 0.289  -0.339 0.511  -0.371 0.733  -0.327 0.928  -0.144 1.058  0.068 1.125  0.280 1.202  0.502 1.239  0.724 1.279  0.948 1.298  1.171 1.281  1.099 1.173  0.942 1.011  0.785 0.849  0.627 0.687  0.470 0.525  0.313 0.363  0.156 0.202  -0.001 0.040  -0.150 -0.130  -0.299 -0.298  -0.394 -0.499  -0.190 -0.549  0.033 -0.524  0.253 -0.473  0.472 -0.420  0.681 -0.338
1b#ced#ddjh4871_s_03/F  -0.174 0.927  -0.139 0.982  -0.139 0.768  -0.139 0.554  -0.151 0.340  -0.156 0.126  -0.156 -0.088  -0.156 -0.302  -0.156 -0.516  -0.156 -0.730  -0.156 -0.944  -0.156 -1.158  -0.156 -1.373  -0.156 -1.587  -0.156 -1.801  -0.165 -1.891  -0.194 -1.679  -0.224 -1.467  -0.253 -1.255  -0.283 -1.043  -0.313 -0.831  -0.342 -0.619  -0.372 -0.407  -0.401 -0.195  -0.443 0.014  -0.504 0.219  -0.546 0.426  -0.540 0.639  -0.416 0.810  -0.229 0.909  -0.037 1.002  0.160 1.085  0.358 1.165  0.558 1.241  0.764 1.281  0.970 1.340  0.931 1.265  0.784 1.109  0.637 0.954  0.489 0.798  0.342 0.643  0.195 0.488  0.057 0.326  -0.053 0.142  -0.130 -0.057  -0.096 -0.258  0.082 -0.367  0.296 -0.367  0.508 -0.340  0.712 -0.278
1b#ced#ddjh4871_s_03/F  -0.078 0.159  -0.078 0.416  -0.050 0.669  -0.041 0.924  -0.022 1.178  -0.079 1.081  -0.134 0.831  -0.146 0.575  -0.162 0.320  -0.184 0.065  -0.190 -0.191  -0.192 -0.447  -0.218 -0.702  -0.218 -0.959  -0.218 -1.215  -0.218 -1.472  -0.218 -1.728  -0.218 -1.984  -0.278 -1.739  -0.339 -1.490  -0.399 -1.241  -0.460 -0.992  -0.520 -0.743  -0.581 -0.494  -0.609 -0.241  -0.671 0.008  -0.681 0.263  -0.571 0.486  -0.382 0.652  -0.172 0.794  0.072 0.859  0.312 0.949  0.561 1.008  0.810 1.065  1.063 1.111  1.313 1.166  1.124 1.031  0.912 0.886  0.701 0.740  0.490 0.595  0.278 0.450  0.067 0.304  -0.127 0.138  -0.293 -0.056  -0.386 -0.280  -0.210 -0.457  0.027 -0.542  0.281 -0.569  0.537 -0.584  0.792 -0.598
1b#ced#ddjh4871_s_03/F  -0.193 -0.244  -0.259 -0.016  -0.297 0.217  -0.316 0.390  -0.336 0.153  -0.354 -0.085  -0.373 -0.323  -0.373 -0.562  -0.392 -0.800  -0.392 -1.039  -0.379 -1.277  -0.373 -1.516  -0.302 -1.546  -0.297 -1.308  -0.329 -1.071  -0.361 -0.834  -0.408 -0.600  -0.490 -0.375  -0.588 -0.157  -0.679 0.063  -0.800 0.268  -0.922 0.472  -0.872 0.683  -0.652 0.768  -0.420 0.824  -0.192 0.896  0.037 0.964  0.265 1.035  0.490 1.115  0.721 1.177  0.950 1.246  1.183 1.297  1.222 1.252  1.016 1.132  0.817 1.000  0.638 0.842  0.455 0.690  0.276 0.532  0.099 0.371  -0.055 0.189  -0.191 -0.006  -0.284 -0.225  -0.270 -0.459  -0.119 -0.636  0.092 -0.744  0.328 -0.769  0.567 -0.776  0.806 -0.772  1.044 -0.756  1.270 -0.681
2#uqb#ja/F  -0.329 0.975  -0.378 0.772  -0.415 0.541  -0.434 0.307  -0.459 0.074  -0.487 -0.159  -0.516 -0.392  -0.545 -0.625  -0.574 -0.858  -0.604 -1.090  -0.618 -1.324  -0.611 -1.558  -0.556 -1.753  -0.434 -1.556  -0.429 -1.322  -0.425 -1.087  -0.420 -0.853  -0.415 -0.618  -0.410 -0.384  -0.405 -0.149  -0.400 0.086  -0.395 0.320  -0.390 0.555  -0.448 0.771  -0.371 0.903  -0.144 0.963  0.082 1.026  0.313 1.068  0.545 1.100  0.774 1.148  1.006 1.175  1.235 1.216  1.231 1.090  1.063 0.926  0.895 0.761  0.728 0.597  0.560 0.433  0.392 0.269  0.225 0.105  0.057 -0.059  -0.111 -0.223  -0.278 -0.387  -0.449 -0.469  -0.220 -0.420  0.013 -0.395  0.244 -0.353  0.476 -0.320  0.709 -0.292  0.943 -0.272  1.177 -0.260
2#uqb#ja/F  -0.632 0.194  -0.616 0.035  -0.616 -0.195  -0.616 -0.424  -0.578 -0.651  -0.568 -0.880  -0.551 -1.109  -0.508 -1.334  -0.444 -1.428  -0.422 -1.199  -0.427 -0.975  -0.525 -0.767  -0.623 -0.559  -0.721 -0.351  -0.819 -0.143  -0.917 0.065  -1.014 0.273  -1.151 0.454  -1.131 0.622  -0.916 0.702  -0.689 0.734  -0.463 0.774  -0.238 0.824  -0.010 0.841  0.220 0.841  0.449 0.837  0.679 0.829  0.908 0.841  1.136 0.870  1.358 0.929  1.422 0.902  1.237 0.766  1.051 0.631  0.866 0.495  0.680 0.359  0.495 0.223  0.309 0.087  0.124 -0.049  -0.062 -0.185  -0.247 -0.321  -0.439 -0.437  -0.353 -0.453  -0.124 -0.446  0.102 -0.406  0.329 -0.368  0.557 -0.342  0.786 -0.317  1.015 -0.296  1.243 -0.269  1.455 -0.227
2#uqb#ja/F  -0.532 0.306  -0.521 0.141  -0.567 -0.067  -0.634 -0.269  -0.698 -0.472  -0.744 -0.680  -0.783 -0.889  -0.771 -1.096  -0.706 -1.299  -0.731 -1.223  -0.777 -1.017  -0.798 -0.805  -0.818 -0.593  -0.838 -0.381  -0.859 -0.169  -0.879 0.043  -0.900 0.255  -0.920 0.467  -1.033 0.627  -0.824 0.652  -0.612 0.673  -0.401 0.705  -0.192 0.741  0.019 0.770  0.231 0.796  0.443 0.814  0.656 0.814  0.869 0.808  1.082 0.800  1.291 0.833  1.498 0.874  1.403 0.788  1.236 0.657  1.065 0.530  0.894 0.402  0.723 0.275  0.552 0.148  0.382 0.020  0.211 -0.107  0.040 -0.234  -0.131 -0.362  -0.304 -0.458  -0.195 -0.493  0.016 -0.515  0.229 -0.504  0.441 -0.481  0.652 -0.456  0.865 -0.456  1.078 -0.456  1.291 -0.456
2#uqb#ja/F  -0.770 0.282  -0.648 0.206  -0.594 -0.034  -0.570 -0.280  -0.553 -0.527  -0.564 -0.775  -0.576 -1.022  -0.571 -1.269  -0.523 -1.338  -0.553 -1.092  -0.584 -0.846  -0.614 -0.600  -0.644 -0.354  -0.675 -0.109  -0.705 0.137  -0.736 0.383  -0.942 0.502  -0.942 0.607  -0.696 0.633  -0.450 0.661  -0.205 0.700  0.039 0.741  0.282 0.790  0.526 0.832  0.772 0.860  1.018 0.881  1.266 0.899  1.511 0.930  1.689 0.943  1.451 0.875  1.228 0.768  1.022 0.629  0.817 0.491  0.612 0.352  0.406 0.214  0.201 0.075  -0.004 -0.063  -0.210 -0.202  -0.415 -0.340  -0.621 -0.478  -0.826 -0.617  -0.722 -0.611  -0.474 -0.601  -0.228 -0.570  0.017 -0.535  0.262 -0.497  0.506 -0.459  0.751 -0.420  0.996 -0.383  1.243 -0.368
2#uqb#ja/F  -0.609 0.413  -0.566 0.211  -0.566 -0.035  -0.589 -0.278  -0.623 -0.521  -0.677 -0.760  -0.736 -0.998  -0.688 -1.237  -0.663 -1.308  -0.696 -1.065  -0.729 -0.822  -0.762 -0.579  -0.795 -0.336  -0.828 -0.092  -0.861 0.151  -0.912 0.388  -1.017 0.604  -0.824 0.722  -0.580 0.752  -0.337 0.787  -0.094 0.782  0.150 0.758  0.395 0.771  0.640 0.778  0.885 0.778  1.125 0.821  1.370 0.821  1.605 0.835  1.400 0.713  1.184 0.597  0.967 0.482  0.751 0.367  0.534 0.252  0.317 0.137  0.101 0.022  -0.116 -0.093  -0.333 -0.208  -0.549 -0.324  -0.766 -0.439  -0.811 -0.441  -0.567 -0.417  -0.322 -0.404  -0.077 -0.404  0.168 -0.388  0.412 -0.366  0.656 -0.342  0.900 -0.317  1.143 -0.285  1.386 -0.253  1.605 -0.232
2#uqb#ja/F  -0.979 -0.037  -0.866 0.133  -0.854 -0.066  -0.865 -0.269  -0.874 -0.472  -0.870 -0.675  -0.912 -0.875  -0.922 -1.062  -0.974 -0.880  -1.029 -0.683  -1.084 -0.487  -1.138 -0.290  -1.193 -0.094  -1.254 0.101  -1.275 0.276  -1.104 0.387  -0.903 0.415  -0.701 0.446  -0.499 0.465  -0.295 0.465  -0.095 0.501  0.106 0.534  0.309 0.514  0.512 0.495  0.712 0.529  0.913 0.563  1.114 0.529  1.316 0.503  1.520 0.493  1.722 0.506  1.576 0.440  1.385 0.368  1.194 0.296  1.004 0.224  0.813 0.152  0.622 0.080  0.431 0.007  0.241 -0.065  0.050 -0.137  -0.141 -0.209  -0.332 -0.281  -0.409 -0.337  -0.207 -0.366  -0.003 -0.363  0.201 -0.354  0.402 -0.324  0.603 -0.292  0.807 -0.273  1.010 -0.266  1.214 -0.266
2#uqb#ja/F  -0.416 0.371  -0.477 0.280  -0.505 0.050  -0.501 -0.181  -0.486 -0.413  -0.485 -0.645  -0.513 -0.874  -0.554 -1.102  -0.514 -1.330  -0.575 -1.299  -0.620 -1.072  -0.665 -0.844  -0.709 -0.616  -0.754 -0.389  -0.798 -0.161  -0.843 0.067  -0.888 0.295  -0.932 0.522  -0.954 0.749  -0.787 0.895  -0.562 0.911  -0.331 0.919  -0.099 0.922  0.133 0.932  0.364 0.957  0.595 0.958  0.827 0.950  1.058 0.973  1.290 0.977  1.481 0.942  1.322 0.774  1.134 0.637  0.947 0.500  0.759 0.364  0.572 0.227  0.385 0.090  0.197 -0.047  0.010 -0.184  -0.178 -0.320  -0.365 -0.457  -0.552 -0.594  -0.478 -0.525  -0.249 -0.532  -0.017 -0.540  0.214 -0.525  0.443 -0.489  0.674 -0.492  0.906 -0.507  1.135 -0.543  1.364 -0.581
2#uqb#ja/F  -0.915 0.107  -0.762 0.083  -0.695 -0.118  -0.702 -0.344  -0.732 -0.569  -0.751 -0.794  -0.751 -1.021  -0.684 -1.235  -0.652 -1.177  -0.691 -0.953  -0.730 -0.730  -0.769 -0.507  -0.808 -0.283  -0.847 -0.060  -0.886 0.163  -0.949 0.376  -0.855 0.562  -0.648 0.616  -0.423 0.642  -0.196 0.644  0.031 0.644  0.257 0.644  0.483 0.670  0.707 0.699  0.932 0.732  1.157 0.748  1.384 0.748  1.610 0.729  1.835 0.734  1.692 0.622  1.483 0.533  1.274 0.445  1.067 0.354  0.859 0.262  0.652 0.171  0.445 0.079  0.237 -0.012  0.030 -0.104  -0.178 -0.195  -0.385 -0.287  -0.592 -0.378  -0.808 -0.443  -0.752 -0.437  -0.526 -0.419  -0.301 -0.390  -0.076 -0.362  0.149 -0.336  0.371 -0.290  0.595 -0.270  0.815 -0.296
2#uqb#ja/F  -0.852 0.272  -0.762 0.489  -0.719 0.268  -0.707 0.033  -0.777 -0.188  -0.834 -0.412  -0.834 -0.647  -0.829 -0.882  -0.817 -1.117  -0.781 -1.141  -0.848 -0.917  -0.963 -0.713  -0.977 -0.478  -1.033 -0.252  -1.113 -0.032  -1.138 0.201  -1.065 0.409  -0.848 0.485  -0.615 0.472  -0.382 0.471  -0.150 0.506  0.084 0.520  0.319 0.532  0.550 0.572  0.783 0.603  1.018 0.603  1.251 0.620  1.480 0.669  1.709 0.708  1.653 0.599  1.461 0.469  1.246 0.374  1.032 0.278  0.817 0.183  0.602 0.088  0.387 -0.007  0.173 -0.103  -0.042 -0.198  -0.257 -0.293  -0.472 -0.388  -0.686 -0.375  -0.499 -0.331  -0.265 -0.304  -0.031 -0.285  0.203 -0.267  0.438 -0.255  0.672 -0.246  0.905 -0.219  1.138 -0.188  1.373 -0.188
2#uqb#ja/F  -0.408 0.500  -0.408 0.528  -0.408 0.306  -0.409 0.084  -0.439 -0.136  -0.463 -0.357  -0.481 -0.578  -0.492 -0.800  -0.501 -1.022  -0.537 -1.241  -0.575 -1.459  -0.580 -1.681  -0.565 -1.568  -0.566 -1.346  -0.568 -1.124  -0.570 -0.902  -0.572 -0.680  -0.573 -0.458  -0.575 -0.236  -0.577 -0.014  -0.579 0.208  -0.649 0.403  -0.725 0.578  -0.562 0.727  -0.355 0.792  -0.134 0.813  0.088 0.813  0.309 0.834  0.529 0.869  0.746 0.912  0.964 0.953  1.184 0.982  1.406 1.000  1.560 0.989  1.367 0.882  1.181 0.760  0.996 0.638  0.810 0.516  0.625 0.393  0.440 0.271  0.254 0.149  0.069 0.027  -0.117 -0.095  -0.302 -0.217  -0.349 -0.310  -0.131 -0.336  0.091 -0.328  0.313 -0.328  0.534 -0.350  0.702 -0.360
2#uqb#ja/F  -0.316 0.633  -0.391 0.407  -0.424 0.172  -0.448 -0.065  -0.470 -0.302  -0.483 -0.539  -0.513 -0.775  -0.540 -1.011  -0.528 -1.249  -0.522 -1.482  -0.552 -1.361  -0.569 -1.123  -0.586 -0.886  -0.603 -0.648  -0.620 -0.411  -0.637 -0.174  -0.653 0.064  -0.670 0.301  -0.687 0.539  -0.704 0.776  -0.594 0.864  -0.367 0.794  -0.133 0.754  0.105 0.756  0.333 0.823  0.566 0.871  0.801 0.910  1.038 0.935  1.275 0.943  1.511 0.959  1.690 0.952  1.532 0.783  1.341 0.641  1.132 0.529  0.922 0.417  0.712 0.304  0.502 0.192  0.292 0.080  0.082 -0.033  -0.128 -0.145  -0.338 -0.258  -0.547 -0.370  -0.757 -0.482  -0.717 -0.544  -0.483 -0.588  -0.245 -0.590  -0.007 -0.599  0.231 -0.600  0.466 -0.576  0.701 -0.590
2#uqb#ja/F  -0.485 0.272  -0.530 0.100  -0.576 -0.129  -0.630 -0.356  -0.681 -0.585  -0.710 -0.817  -0.754 -1.046  -0.782 -1.275  -0.738 -1.095  -0.775 -0.864  -0.812 -0.633  -0.849 -0.402  -0.887 -0.171  -0.924 0.060  -0.984 0.281  -1.129 0.464  -1.069 0.621  -0.837 0.648  -0.603 0.657  -0.370 0.662  -0.136 0.662  0.097 0.678  0.328 0.717  0.560 0.740  0.793 0.740  1.027 0.735  1.261 0.726  1.494 0.734  1.636 0.750  1.409 0.693  1.190 0.616  0.984 0.505  0.779 0.393  0.573 0.281  0.368 0.170  0.162 0.058  -0.043 -0.054  -0.249 -0.165  -0.454 -0.277  -0.660 -0.389  -0.641 -0.482  -0.411 -0.517  -0.178 -0.536  0.051 -0.488  0.282 -0.464  0.516 -0.472  0.748 -0.455  0.980 -0.429  1.214 -0.429  1.447 -0.429
2#uqb#ja/F  -0.784 0.222  -0.704 0.162  -0.654 -0.062  -0.641 -0.293  -0.607 -0.523  -0.599 -0.752  -0.623 -0.983  -0.623 -1.214  -0.598 -1.445  -0.569 -1.599  -0.558 -1.368  -0.557 -1.136  -0.569 -0.905  -0.581 -0.673  -0.594 -0.442  -0.606 -0.210  -0.618 0.021  -0.630 0.253  -0.661 0.477  -0.817 0.648  -0.677 0.794  -0.456 0.856  -0.226 0.878  0.006 0.883  0.238 0.886  0.467 0.916  0.698 0.937  0.930 0.937  1.161 0.945  1.392 0.952  1.395 0.843  1.212 0.710  1.005 0.605  0.798 0.501  0.591 0.396  0.384 0.291  0.177 0.187  -0.030 0.082  -0.237 -0.022  -0.451 -0.108  -0.589 -0.206  -0.385 -0.316  -0.157 -0.332  0.075 -0.332  0.307 -0.332  0.536 -0.302  0.763 -0.259  0.993 -0.226  1.222 -0.189  1.450 -0.153
2#uqb#ja/F  -0.687 0.239  -0.664 0.024  -0.654 -0.207  -0.645 -0.440  -0.643 -0.672  -0.643 -0.905  -0.593 -1.098  -0.660 -0.877  -0.752 -0.665  -0.868 -0.463  -0.983 -0.262  -1.099 -0.060  -1.215 0.142  -1.277 0.301  -1.050 0.351  -0.822 0.395  -0.593 0.434  -0.363 0.470  -0.133 0.503  0.098 0.533  0.329 0.558  0.560 0.585  0.789 0.624  1.019 0.653  1.251 0.653  1.484 0.653  1.716 0.657  1.892 0.683  1.661 0.654  1.441 0.589  1.235 0.481  1.033 0.367  0.830 0.252  0.628 0.137  0.426 0.022  0.224 -0.092  0.021 -0.207  -0.181 -0.322  -0.413 -0.334  -0.641 -0.373  -0.868 -0.423  -0.943 -0.472  -0.711 -0.472  -0.478 -0.472  -0.246 -0.458  -0.015 -0.433  0.210 -0.374  0.436 -0.320  0.664 -0.279  0.896 -0.279
2#uqb#ja/F  -0.899 0.670  -0.830 0.475  -0.753 0.265  -0.757 0.046  -0.781 -0.175  -0.744 -0.389  -0.665 -0.597  -0.637 -0.816  -0.629 -1.039  -0.589 -1.257  -0.582 -1.207  -0.593 -0.984  -0.605 -0.762  -0.616 -0.539  -0.628 -0.317  -0.639 -0.094  -0.650 0.128  -0.662 0.351  -0.781 0.521  -0.792 0.652  -0.582 0.726  -0.366 0.778  -0.146 0.811  0.075 0.842  0.296 0.871  0.517 0.898  0.738 0.925  0.958 0.960  1.179 0.968  1.401 0.970  1.520 0.948  1.363 0.793  1.196 0.646  1.029 0.499  0.861 0.352  0.694 0.204  0.527 0.057  0.360 -0.090  0.192 -0.237  0.025 -0.384  -0.142 -0.531  -0.317 -0.660  -0.469 -0.679  -0.247 -0.691  -0.025 -0.688  0.198 -0.672  0.418 -0.639  0.639 -0.624  0.862 -0.624  1.078 -0.660
2#ced#nnwe7032_s_0m/F  -0.186 0.140  -0.381 0.275  -0.397 0.451  -0.397 0.198  -0.377 -0.052  -0.371 -0.304  -0.351 -0.556  -0.327 -0.806  -0.293 -1.056  -0.281 -1.307  -0.265 -1.557  -0.292 -1.429  -0.318 -1.180  -0.353 -0.932  -0.397 -0.685  -0.448 -0.438  -0.505 -0.192  -0.571 0.052  -0.617 0.298  -0.689 0.540  -0.785 0.774  -0.632 0.948  -0.394 1.019  -0.150 1.088  0.094 1.155  0.335 1.230  0.580 1.282  0.815 1.356  1.050 1.378  0.938 1.199  0.767 1.013  0.595 0.826  0.424 0.640  0.253 0.454  0.081 0.267  -0.090 0.081  -0.291 -0.071  -0.500 -0.210  -0.697 -0.368  -0.748 -0.527  -0.508 -0.515  -0.261 -0.517  -0.012 -0.520  0.237 -0.534  0.489 -0.509  0.741 -0.507  0.995 -0.507  1.245 -0.481  1.498 -0.476  1.744 -0.428
2#ced#nnwe7032_s_0m/F  -0.035 0.535  -0.181 0.706  -0.363 0.782  -0.297 0.541  -0.244 0.290  -0.218 0.033  -0.197 -0.225  -0.192 -0.484  -0.166 -0.741  -0.192 -0.997  -0.227 -1.252  -0.267 -1.508  -0.297 -1.598  -0.342 -1.344  -0.375 -1.088  -0.421 -0.833  -0.454 -0.577  -0.513 -0.324  -0.546 -0.068  -0.559 0.190  -0.559 0.450  -0.528 0.706  -0.404 0.926  -0.211 1.096  0.021 1.209  0.262 1.301  0.504 1.370  0.749 1.452  0.879 1.291  0.697 1.105  0.515 0.920  0.333 0.735  0.151 0.549  -0.031 0.364  -0.213 0.179  -0.396 -0.007  -0.581 -0.188  -0.762 -0.369  -0.924 -0.567  -0.683 -0.577  -0.429 -0.519  -0.170 -0.514  0.087 -0.476  0.344 -0.457  0.596 -0.409  0.854 -0.383  1.112 -0.356  1.369 -0.327  1.625 -0.289  1.879 -0.252
1b#apb#apb38#app3891/F  0.090 1.182  0.143 1.308  0.115 1.107  0.034 0.918  -0.060 0.734  -0.227 0.630  -0.419 0.576  -0.555 0.699  -0.527 0.899  -0.384 1.034  -0.180 1.059  0.024 1.075  0.220 1.140  0.420 1.194  0.621 1.239  0.793 1.231  0.652 1.132  0.567 0.946  0.483 0.757  0.416 0.563  0.373 0.361  0.322 0.160  0.267 -0.039  0.225 -0.241  0.190 -0.445  0.162 -0.650  0.139 -0.855  0.151 -1.062  0.187 -1.265  0.279 -1.450  0.356 -1.425  0.255 -1.245  0.128 -1.083  -0.054 -1.022  -0.238 -1.112  -0.414 -1.221  -0.554 -1.373  -0.617 -1.421  -0.590 -1.216  -0.563 -1.011  -0.536 -0.806  -0.509 -0.601  -0.482 -0.396  -0.455 -0.191  -0.514 -0.121  -0.334 -0.082  -0.144 0.000  0.049 0.074  0.247 0.135  0.448 0.183
2#ced#flad4341_s_jh/F  0.070 0.391  0.134 0.515  0.224 0.624  0.319 0.730  0.437 0.808  0.557 0.882  0.681 0.950  0.811 1.005  0.938 1.068  1.055 1.071  0.922 1.043  0.783 1.025  0.645 0.990  0.506 0.975  0.370 0.935  0.229 0.928  0.090 0.901  -0.051 0.889  -0.190 0.869  -0.329 0.849  -0.459 0.849  -0.449 0.751  -0.408 0.620  -0.378 0.482  -0.347 0.344  -0.328 0.203  -0.314 0.063  -0.290 -0.077  -0.286 -0.219  -0.268 -0.359  -0.268 -0.501  -0.268 -0.643  -0.268 -0.785  -0.288 -0.926  -0.297 -1.067  -0.308 -1.208  -0.328 -1.347  -0.348 -1.486  -0.372 -1.623  -0.350 -1.582  -0.309 -1.446  -0.268 -1.311  -0.252 -1.171  -0.249 -1.030  -0.249 -0.888  -0.249 -0.746  -0.202 -0.626  -0.072 -0.584  0.067 -0.565  0.209 -0.564
2#ced#flad4341_s_jh/F  0.655 0.597  0.785 0.630  0.914 0.664  1.043 0.687  1.173 0.722  1.296 0.775  1.294 0.829  1.165 0.833  1.031 0.829  0.898 0.814  0.765 0.794  0.631 0.790  0.498 0.776  0.364 0.766  0.230 0.758  0.097 0.740  -0.036 0.731  -0.170 0.722  -0.301 0.704  -0.436 0.704  -0.531 0.687  -0.402 0.652  -0.276 0.615  -0.345 0.611  -0.345 0.477  -0.363 0.345  -0.381 0.213  -0.392 0.080  -0.400 -0.054  -0.417 -0.187  -0.426 -0.321  -0.445 -0.454  -0.453 -0.588  -0.453 -0.722  -0.466 -0.856  -0.471 -0.990  -0.471 -1.125  -0.471 -1.259  -0.471 -1.393  -0.463 -1.526  -0.426 -1.442  -0.410 -1.308  -0.399 -1.174  -0.399 -1.040  -0.399 -0.905  -0.418 -0.775  -0.437 -0.655  -0.319 -0.617  -0.190 -0.589  -0.060 -0.564
