1c#kai#kai1#jhjung5/g  0.216 1.333  0.024 1.391  -0.178 1.391  -0.375 1.368  -0.566 1.304  -0.713 1.182  -0.800 1.002  -0.824 0.805  -0.824 0.604  -0.822 0.403  -0.758 0.212  -0.672 0.038  -0.498 -0.053  -0.297 -0.053  -0.100 -0.023  0.078 0.067  0.191 0.220  0.284 0.397  0.331 0.584  0.377 0.778  0.441 0.969  0.444 1.151  0.389 0.959  0.389 0.758  0.389 0.556  0.389 0.355  0.389 0.154  0.389 -0.048  0.389 -0.249  0.389 -0.451  0.342 -0.646  0.331 -0.846  0.331 -1.048  0.318 -1.247  0.274 -1.441  0.246 -1.638  0.115 -1.762  -0.061 -1.717  -0.196 -1.573  -0.281 -1.392  -0.304 -1.194  -0.266 -0.998  -0.208 -0.805  -0.144 -0.614  -0.060 -0.431  0.041 -0.258  0.167 -0.102  0.302 0.047  0.420 0.209  0.562 0.351
1c#kai#kai1#jhjung5/e  -0.697 -0.170  -0.569 -0.128  -0.441 -0.085  -0.328 -0.012  -0.215 0.063  -0.103 0.137  0.009 0.212  0.113 0.295  0.188 0.408  0.263 0.520  0.310 0.646  0.353 0.774  0.362 0.908  0.362 1.043  0.326 1.172  0.283 1.300  0.169 1.329  0.034 1.329  -0.095 1.294  -0.223 1.252  -0.312 1.157  -0.387 1.045  -0.449 0.927  -0.492 0.799  -0.521 0.668  -0.521 0.533  -0.521 0.398  -0.521 0.263  -0.521 0.128  -0.521 -0.007  -0.521 -0.142  -0.521 -0.277  -0.500 -0.408  -0.457 -0.536  -0.401 -0.658  -0.327 -0.770  -0.250 -0.880  -0.137 -0.955  -0.025 -1.030  0.087 -1.105  0.200 -1.180  0.320 -1.229  0.455 -1.229  0.590 -1.229  0.725 -1.229  0.850 -1.197  0.962 -1.122  1.076 -1.050  1.204 -1.007  1.332 -0.964
1c#kai#kai1#jhjung5/l  -0.393 -1.428  -0.315 -1.311  -0.241 -1.192  -0.178 -1.066  -0.114 -0.942  -0.036 -0.825  0.030 -0.702  0.075 -0.569  0.134 -0.442  0.197 -0.317  0.248 -0.186  0.286 -0.052  0.286 0.088  0.316 0.224  0.354 0.358  0.354 0.499  0.354 0.639  0.354 0.779  0.354 0.920  0.354 1.060  0.354 1.200  0.354 1.341  0.354 1.481  0.246 1.564  0.136 1.606  0.058 1.489  -0.019 1.372  -0.097 1.256  -0.152 1.127  -0.196 0.994  -0.241 0.861  -0.257 0.723  -0.257 0.583  -0.257 0.442  -0.257 0.302  -0.257 0.162  -0.257 0.021  -0.257 -0.119  -0.257 -0.259  -0.257 -0.400  -0.237 -0.537  -0.193 -0.670  -0.189 -0.810  -0.189 -0.950  -0.188 -1.091  -0.144 -1.224  -0.083 -1.349  -0.005 -1.466  0.102 -1.554  0.218 -1.632
1c#kai#kai1#jhjung5/l  -0.716 -1.302  -0.598 -1.223  -0.492 -1.131  -0.392 -1.031  -0.292 -0.932  -0.201 -0.824  -0.122 -0.707  -0.044 -0.589  0.012 -0.461  0.072 -0.334  0.149 -0.216  0.213 -0.090  0.264 0.041  0.299 0.178  0.342 0.313  0.386 0.447  0.431 0.581  0.466 0.716  0.469 0.857  0.514 0.991  0.519 1.132  0.519 1.273  0.499 1.412  0.461 1.546  0.327 1.590  0.239 1.500  0.161 1.382  0.084 1.264  0.021 1.138  -0.035 1.008  -0.080 0.874  -0.124 0.740  -0.159 0.603  -0.198 0.467  -0.242 0.333  -0.286 0.199  -0.286 0.058  -0.286 -0.084  -0.253 -0.219  -0.232 -0.357  -0.232 -0.499  -0.232 -0.640  -0.232 -0.781  -0.216 -0.920  -0.179 -1.055  -0.178 -1.196  -0.133 -1.330  -0.089 -1.464  -0.010 -1.578  0.090 -1.678
1c#kai#kai1#jhjung5/m  -1.222 0.688  -1.056 0.915  -0.812 1.058  -0.543 1.069  -0.392 0.861  -0.390 0.580  -0.461 0.306  -0.551 0.036  -0.641 -0.233  -0.730 -0.502  -0.880 -0.742  -0.970 -1.011  -1.011 -1.288  -0.885 -1.156  -0.850 -0.881  -0.723 -0.628  -0.596 -0.374  -0.508 -0.104  -0.425 0.165  -0.268 0.401  -0.081 0.607  0.117 0.803  0.322 0.992  0.390 0.837  0.303 0.567  0.214 0.298  0.124 0.029  0.101 -0.251  0.011 -0.520  -0.079 -0.790  -0.220 -1.034  -0.229 -1.240  -0.139 -0.971  -0.028 -0.710  0.081 -0.449  0.157 -0.176  0.240 0.095  0.389 0.335  0.554 0.563  0.774 0.737  0.967 0.927  1.236 1.016  1.301 0.823  1.277 0.543  1.187 0.274  1.097 0.004  0.951 -0.236  0.924 -0.515  0.881 -0.792  1.091 -0.924
1c#kai#kai1#jhjung5/a  0.533 1.436  0.365 1.380  0.206 1.306  0.058 1.208  -0.089 1.110  -0.236 1.011  -0.351 0.878  -0.457 0.737  -0.548 0.587  -0.604 0.419  -0.690 0.266  -0.788 0.119  -0.848 -0.047  -0.904 -0.215  -0.960 -0.383  -0.975 -0.558  -0.975 -0.735  -0.975 -0.912  -0.975 -1.089  -0.936 -1.238  -0.768 -1.294  -0.600 -1.277  -0.433 -1.218  -0.286 -1.120  -0.144 -1.015  -0.019 -0.890  0.097 -0.759  0.153 -0.591  0.209 -0.423  0.265 -0.255  0.362 -0.107  0.453 0.044  0.509 0.212  0.533 0.385  0.537 0.561  0.593 0.729  0.622 0.902  0.622 1.079  0.622 0.906  0.594 0.734  0.538 0.566  0.533 0.389  0.533 0.212  0.533 0.035  0.533 -0.142  0.533 -0.319  0.571 -0.484  0.669 -0.631  0.808 -0.725  0.976 -0.781
1c#kai#kai1#jhjung5/s  -1.402 -0.740  -1.265 -0.649  -1.134 -0.551  -1.035 -0.419  -0.937 -0.288  -0.842 -0.153  -0.751 -0.016  -0.660 0.121  -0.569 0.258  -0.477 0.395  -0.384 0.530  -0.267 0.647  -0.151 0.763  -0.058 0.898  0.037 1.032  0.174 1.123  0.311 1.214  0.448 1.306  0.596 1.360  0.761 1.360  0.862 1.242  0.951 1.104  0.951 0.939  0.951 0.775  0.951 0.610  0.912 0.450  0.872 0.291  0.832 0.131  0.792 -0.029  0.743 -0.186  0.682 -0.336  0.566 -0.453  0.449 -0.569  0.291 -0.611  0.131 -0.651  -0.029 -0.691  -0.188 -0.731  -0.352 -0.740  -0.516 -0.740  -0.675 -0.702  -0.799 -0.646  -0.662 -0.555  -0.525 -0.513  -0.388 -0.604  -0.247 -0.688  -0.099 -0.761  0.049 -0.832  0.205 -0.884  0.366 -0.908  0.530 -0.908
1c#kai#kai1#jhjung5/r  -1.467 -0.871  -1.359 -0.799  -1.254 -0.725  -1.182 -0.617  -1.110 -0.509  -1.038 -0.401  -0.971 -0.291  -0.930 -0.168  -0.889 -0.045  -0.848 0.078  -0.839 0.206  -0.833 0.334  -0.792 0.457  -0.769 0.583  -0.769 0.713  -0.667 0.769  -0.543 0.805  -0.414 0.805  -0.284 0.805  -0.155 0.805  -0.027 0.790  0.096 0.749  0.223 0.735  0.353 0.735  0.482 0.735  0.609 0.718  0.732 0.677  0.860 0.665  0.969 0.655  0.898 0.547  0.823 0.442  0.731 0.350  0.639 0.258  0.565 0.153  0.493 0.045  0.450 -0.077  0.402 -0.197  0.330 -0.305  0.278 -0.419  0.278 -0.548  0.278 -0.678  0.284 -0.805  0.391 -0.876  0.501 -0.944  0.627 -0.975  0.753 -1.007  0.862 -0.947  0.970 -0.875  1.078 -0.803  1.186 -0.731
1c#kai#kai1#jhjung5/a  0.177 1.632  0.027 1.532  -0.121 1.432  -0.221 1.282  -0.318 1.132  -0.375 0.961  -0.445 0.797  -0.545 0.648  -0.630 0.491  -0.687 0.321  -0.744 0.150  -0.801 -0.020  -0.858 -0.190  -0.907 -0.362  -0.907 -0.542  -0.907 -0.721  -0.907 -0.901  -0.859 -1.073  -0.789 -1.225  -0.610 -1.225  -0.444 -1.179  -0.294 -1.080  -0.169 -0.956  -0.069 -0.806  0.030 -0.657  0.130 -0.508  0.207 -0.347  0.264 -0.176  0.321 -0.006  0.377 0.164  0.434 0.335  0.472 0.508  0.472 0.688  0.480 0.866  0.537 1.037  0.594 1.071  0.650 0.901  0.632 0.731  0.575 0.560  0.571 0.381  0.571 0.201  0.529 0.029  0.472 -0.142  0.472 -0.322  0.472 -0.501  0.472 -0.681  0.513 -0.854  0.570 -1.024  0.717 -1.126  0.867 -1.225
1c#kai#kai1#jhjung5/y  -0.225 1.357  -0.235 1.189  -0.289 1.028  -0.343 0.866  -0.362 0.700  -0.358 0.532  -0.215 0.443  -0.047 0.457  0.087 0.546  0.193 0.678  0.305 0.804  0.386 0.952  0.440 1.113  0.494 1.274  0.547 1.435  0.398 1.437  0.270 1.333  0.232 1.170  0.206 1.004  0.186 0.837  0.186 0.668  0.186 0.498  0.208 0.332  0.232 0.166  0.207 -0.002  0.186 -0.170  0.155 -0.334  0.141 -0.502  0.095 -0.664  0.081 -0.832  0.049 -0.997  0.017 -1.161  -0.054 -1.315  -0.140 -1.461  -0.234 -1.603  -0.369 -1.690  -0.479 -1.595  -0.541 -1.438  -0.583 -1.273  -0.590 -1.104  -0.578 -0.937  -0.524 -0.775  -0.436 -0.636  -0.308 -0.525  -0.159 -0.448  -0.003 -0.382  0.153 -0.314  0.314 -0.260  0.475 -0.206  0.643 -0.196
1c#kai#kai1#jhjung5/e  -0.658 -0.035  -0.526 0.009  -0.394 0.053  -0.279 0.130  -0.163 0.207  -0.045 0.280  0.074 0.352  0.193 0.424  0.312 0.495  0.428 0.572  0.544 0.649  0.672 0.701  0.804 0.745  0.923 0.815  1.039 0.892  1.041 0.969  0.925 1.046  0.806 1.097  0.674 1.053  0.541 1.019  0.402 1.019  0.270 0.994  0.155 0.917  0.040 0.839  -0.058 0.741  -0.157 0.642  -0.255 0.544  -0.353 0.446  -0.451 0.348  -0.513 0.226  -0.557 0.094  -0.601 -0.037  -0.644 -0.169  -0.658 -0.306  -0.658 -0.445  -0.658 -0.584  -0.658 -0.723  -0.658 -0.862  -0.658 -1.001  -0.581 -1.117  -0.504 -1.232  -0.398 -1.320  -0.283 -1.397  -0.157 -1.439  -0.018 -1.439  0.108 -1.397  0.224 -1.320  0.340 -1.242  0.455 -1.165  0.571 -1.088
1c#kai#kai1#jhjung5/a  0.144 1.444  0.034 1.280  -0.075 1.115  -0.185 0.951  -0.278 0.778  -0.340 0.590  -0.439 0.420  -0.548 0.256  -0.614 0.069  -0.655 -0.122  -0.655 -0.319  -0.707 -0.509  -0.755 -0.699  -0.755 -0.896  -0.755 -1.094  -0.743 -1.290  -0.681 -1.477  -0.572 -1.470  -0.432 -1.330  -0.306 -1.179  -0.196 -1.015  -0.100 -0.842  -0.012 -0.666  0.067 -0.485  0.130 -0.297  0.192 -0.110  0.255 0.078  0.317 0.266  0.380 0.453  0.442 0.641  0.444 0.838  0.473 1.031  0.535 1.219  0.598 1.407  0.627 1.494  0.564 1.306  0.502 1.119  0.439 0.931  0.377 0.743  0.344 0.551  0.344 0.353  0.322 0.158  0.274 -0.034  0.244 -0.228  0.244 -0.425  0.244 -0.623  0.244 -0.821  0.244 -1.019  0.334 -1.189  0.444 -1.354
1c#kai#kai1#jhjung5/r  -1.264 -1.253  -1.150 -1.177  -1.039 -1.097  -0.942 -1.001  -0.845 -0.903  -0.763 -0.794  -0.681 -0.684  -0.618 -0.564  -0.574 -0.434  -0.502 -0.318  -0.430 -0.203  -0.430 -0.066  -0.412 0.069  -0.379 0.202  -0.361 0.337  -0.361 0.474  -0.361 0.611  -0.378 0.745  -0.422 0.875  -0.430 1.011  -0.392 1.109  -0.255 1.109  -0.123 1.076  0.008 1.040  0.145 1.040  0.280 1.019  0.413 0.985  0.548 0.970  0.685 0.969  0.815 0.926  0.872 0.846  0.828 0.716  0.758 0.599  0.682 0.485  0.606 0.371  0.530 0.257  0.454 0.143  0.389 0.023  0.346 -0.107  0.334 -0.242  0.334 -0.379  0.303 -0.511  0.265 -0.642  0.265 -0.779  0.309 -0.903  0.385 -1.017  0.477 -1.118  0.574 -1.215  0.690 -1.279  0.820 -1.323
1c#kai#kai1#jhjung5/e  -0.799 -0.294  -0.668 -0.228  -0.537 -0.162  -0.406 -0.097  -0.275 -0.031  -0.144 0.034  -0.005 0.081  0.131 0.135  0.252 0.216  0.378 0.291  0.517 0.337  0.632 0.415  0.713 0.537  0.794 0.659  0.876 0.781  0.895 0.903  0.814 1.025  0.718 1.132  0.596 1.214  0.466 1.268  0.319 1.268  0.189 1.214  0.067 1.133  -0.055 1.052  -0.177 0.971  -0.274 0.864  -0.355 0.742  -0.437 0.620  -0.518 0.498  -0.553 0.362  -0.553 0.216  -0.594 0.076  -0.635 -0.064  -0.635 -0.211  -0.635 -0.357  -0.635 -0.504  -0.600 -0.645  -0.554 -0.784  -0.507 -0.923  -0.445 -1.050  -0.323 -1.131  -0.201 -1.213  -0.079 -1.294  0.047 -1.362  0.193 -1.362  0.340 -1.362  0.486 -1.362  0.609 -1.291  0.727 -1.203  0.844 -1.115
1c#kai#kai1#jhjung5/s  -0.918 -0.654  -0.800 -0.537  -0.682 -0.419  -0.620 -0.266  -0.567 -0.108  -0.515 0.050  -0.436 0.195  -0.343 0.334  -0.294 0.492  -0.254 0.654  -0.188 0.806  -0.113 0.955  -0.050 1.108  0.003 1.267  0.133 1.366  0.273 1.455  0.431 1.508  0.558 1.470  0.650 1.331  0.717 1.180  0.770 1.022  0.822 0.864  0.851 0.702  0.851 0.535  0.901 0.376  0.904 0.225  0.811 0.086  0.706 -0.042  0.588 -0.160  0.470 -0.277  0.352 -0.395  0.225 -0.498  0.067 -0.551  -0.091 -0.603  -0.250 -0.654  -0.416 -0.654  -0.583 -0.654  -0.750 -0.654  -0.908 -0.602  -0.935 -0.570  -0.768 -0.570  -0.626 -0.652  -0.488 -0.745  -0.349 -0.837  -0.210 -0.930  -0.072 -1.022  0.067 -1.114  0.206 -1.207  0.356 -1.276  0.514 -1.328
1c#kai#kai1#jhjung5/o  -0.488 0.735  -0.645 0.630  -0.778 0.506  -0.838 0.326  -0.898 0.147  -0.957 -0.033  -1.017 -0.212  -1.037 -0.398  -1.037 -0.588  -1.037 -0.777  -0.991 -0.959  -0.908 -1.120  -0.750 -1.225  -0.577 -1.278  -0.388 -1.275  -0.209 -1.215  -0.029 -1.156  0.150 -1.096  0.285 -0.963  0.419 -0.829  0.483 -0.652  0.561 -0.482  0.666 -0.324  0.771 -0.167  0.876 -0.009  0.884 0.177  0.884 0.367  0.884 0.556  0.852 0.740  0.792 0.919  0.687 1.077  0.562 1.208  0.383 1.268  0.196 1.284  0.031 1.239  -0.074 1.082  -0.179 0.924  -0.284 0.767  -0.305 0.584  -0.284 0.398  -0.224 0.218  -0.213 0.031  -0.147 -0.111  0.032 -0.170  0.220 -0.180  0.409 -0.180  0.570 -0.085  0.729 0.017  0.898 0.101  1.067 0.186
1c#kai#kai1#jhjung5/n  -1.298 0.272  -1.188 0.438  -1.037 0.550  -0.853 0.624  -0.687 0.734  -0.504 0.809  -0.316 0.872  -0.154 0.897  -0.154 0.698  -0.212 0.508  -0.236 0.313  -0.270 0.122  -0.359 -0.056  -0.434 -0.240  -0.497 -0.429  -0.560 -0.618  -0.668 -0.785  -0.756 -0.961  -0.808 -1.082  -0.808 -0.883  -0.749 -0.693  -0.669 -0.512  -0.580 -0.333  -0.491 -0.155  -0.402 0.023  -0.292 0.189  -0.181 0.354  -0.071 0.520  0.040 0.686  0.180 0.822  0.345 0.932  0.511 1.043  0.696 1.090  0.864 1.033  0.975 0.867  0.990 0.672  0.950 0.480  0.887 0.291  0.822 0.103  0.712 -0.063  0.628 -0.242  0.565 -0.430  0.502 -0.619  0.439 -0.808  0.460 -0.997  0.565 -1.150  0.743 -1.239  0.926 -1.247  1.118 -1.199  1.317 -1.199
1c#kai#kai1#jhjung5/e  -0.753 -1.087  -0.627 -1.004  -0.502 -0.920  -0.376 -0.837  -0.251 -0.753  -0.143 -0.648  -0.036 -0.542  0.071 -0.435  0.177 -0.328  0.282 -0.220  0.365 -0.094  0.449 0.031  0.533 0.157  0.616 0.282  0.700 0.408  0.783 0.533  0.832 0.676  0.871 0.820  0.871 0.971  0.830 1.110  0.747 1.235  0.637 1.326  0.494 1.374  0.346 1.391  0.195 1.391  0.086 1.289  -0.021 1.183  -0.115 1.066  -0.198 0.940  -0.282 0.815  -0.366 0.689  -0.433 0.556  -0.481 0.413  -0.528 0.270  -0.576 0.126  -0.582 -0.023  -0.590 -0.173  -0.638 -0.316  -0.667 -0.462  -0.667 -0.613  -0.635 -0.758  -0.587 -0.901  -0.470 -0.991  -0.344 -1.075  -0.204 -1.128  -0.060 -1.173  0.091 -1.173  0.241 -1.173  0.386 -1.135  0.529 -1.087
1c#kai#kai1#jhjung5/o  -0.378 1.063  -0.441 0.873  -0.534 0.698  -0.643 0.530  -0.706 0.341  -0.769 0.151  -0.832 -0.039  -0.895 -0.228  -0.901 -0.428  -0.901 -0.627  -0.901 -0.827  -0.901 -1.027  -0.838 -1.217  -0.696 -1.329  -0.504 -1.377  -0.304 -1.377  -0.124 -1.293  0.055 -1.204  0.176 -1.045  0.296 -0.885  0.408 -0.720  0.508 -0.548  0.571 -0.358  0.676 -0.189  0.755 -0.013  0.755 0.187  0.755 0.387  0.755 0.587  0.714 0.775  0.603 0.941  0.530 1.126  0.424 1.283  0.258 1.394  0.063 1.411  -0.063 1.309  -0.127 1.120  -0.190 0.930  -0.204 0.732  -0.204 0.532  -0.204 0.332  -0.204 0.132  -0.204 -0.068  -0.112 -0.218  0.055 -0.329  0.254 -0.331  0.454 -0.331  0.652 -0.313  0.846 -0.265  1.024 -0.181  1.190 -0.070
1c#kai#kai1#jhjung5/o  -0.469 0.713  -0.578 0.548  -0.659 0.369  -0.721 0.182  -0.784 -0.006  -0.846 -0.194  -0.909 -0.382  -0.921 -0.577  -0.939 -0.772  -0.996 -0.961  -0.996 -1.159  -0.843 -1.275  -0.665 -1.288  -0.486 -1.209  -0.321 -1.099  -0.157 -0.989  0.008 -0.880  0.160 -0.757  0.270 -0.592  0.380 -0.428  0.436 -0.247  0.458 -0.053  0.512 0.136  0.512 0.334  0.512 0.532  0.459 0.721  0.396 0.909  0.313 1.087  0.198 1.245  0.010 1.307  -0.177 1.263  -0.314 1.133  -0.411 0.962  -0.469 0.774  -0.469 0.576  -0.469 0.378  -0.469 0.180  -0.378 0.020  -0.237 -0.118  -0.050 -0.181  0.146 -0.192  0.344 -0.192  0.537 -0.158  0.726 -0.101  0.918 -0.053  1.107 0.006  1.294 0.069  1.486 0.110  1.681 0.123  1.869 0.185
