2#ceb#Bouzy/F  0.435 0.472  0.457 0.425  0.401 0.255  0.340 0.086  0.277 -0.082  0.212 -0.249  0.146 -0.416  0.072 -0.580  -0.011 -0.739  -0.104 -0.892  -0.210 -1.037  -0.337 -1.163  -0.488 -1.259  -0.662 -1.297  -0.835 -1.261  -0.971 -1.146  -1.058 -0.991  -1.105 -0.818  -1.119 -0.640  -1.053 -0.481  -0.894 -0.402  -0.726 -0.338  -0.549 -0.320  -0.369 -0.313  -0.190 -0.306  -0.011 -0.297  0.168 -0.291  0.347 -0.275  0.523 -0.243  0.518 -0.195  0.353 -0.131  0.200 -0.036  0.048 0.058  -0.105 0.152  -0.258 0.246  -0.411 0.341  -0.444 0.485  -0.374 0.650  -0.256 0.785  -0.120 0.902  0.029 1.001  0.194 1.070  0.367 1.114  0.545 1.141  0.724 1.154  0.903 1.157  1.083 1.157  1.262 1.162  1.440 1.177  1.616 1.210
2#ceb#Bouzy/o  0.236 0.991  0.087 0.879  -0.052 0.753  -0.177 0.614  -0.299 0.472  -0.407 0.320  -0.511 0.164  -0.606 0.002  -0.691 -0.165  -0.768 -0.335  -0.810 -0.518  -0.827 -0.702  -0.786 -0.885  -0.676 -1.033  -0.527 -1.146  -0.347 -1.193  -0.162 -1.224  0.019 -1.195  0.195 -1.132  0.363 -1.048  0.525 -0.955  0.665 -0.831  0.792 -0.693  0.895 -0.537  0.971 -0.366  1.021 -0.186  1.044 -0.001  1.044 0.186  1.009 0.370  0.963 0.552  0.902 0.728  0.818 0.896  0.733 1.063  0.642 1.226  0.485 1.302  0.314 1.226  0.150 1.136  -0.002 1.027  -0.135 0.894  -0.267 0.762  -0.382 0.615  -0.481 0.456  -0.569 0.290  -0.641 0.117  -0.693 -0.062  -0.735 -0.245  -0.728 -0.431  -0.671 -0.608  -0.549 -0.746  -0.374 -0.801
2#ceb#Bouzy/b  0.378 2.153  0.377 2.010  0.316 1.821  0.257 1.632  0.198 1.443  0.131 1.257  0.060 1.072  -0.009 0.886  -0.078 0.701  -0.150 0.516  -0.225 0.333  -0.301 0.150  -0.376 -0.033  -0.451 -0.217  -0.525 -0.401  -0.590 -0.588  -0.652 -0.776  -0.720 -0.962  -0.780 -1.150  -0.769 -1.077  -0.693 -0.895  -0.604 -0.717  -0.515 -0.540  -0.415 -0.370  -0.311 -0.201  -0.206 -0.033  -0.098 0.133  0.010 0.299  0.137 0.451  0.278 0.587  0.473 0.607  0.668 0.587  0.827 0.477  0.889 0.292  0.915 0.097  0.924 -0.101  0.916 -0.298  0.872 -0.490  0.794 -0.669  0.669 -0.822  0.513 -0.940  0.328 -1.008  0.130 -1.008  -0.065 -0.976  -0.247 -0.899  -0.400 -0.776  -0.519 -0.620  -0.594 -0.437  -0.472 -0.295  -0.296 -0.206
2#ceb#Bouzy/a  0.407 -0.274  0.493 -0.101  0.573 0.075  0.651 0.253  0.707 0.438  0.752 0.626  0.790 0.816  0.790 1.009  0.738 1.193  0.614 1.336  0.426 1.369  0.238 1.322  0.063 1.241  -0.095 1.128  -0.250 1.013  -0.390 0.879  -0.530 0.745  -0.653 0.596  -0.772 0.443  -0.882 0.285  -0.974 0.114  -1.065 -0.056  -1.127 -0.240  -1.189 -0.423  -1.204 -0.616  -1.182 -0.803  -1.092 -0.972  -0.947 -1.101  -0.763 -1.146  -0.574 -1.129  -0.392 -1.063  -0.228 -0.960  -0.079 -0.838  0.059 -0.703  0.180 -0.551  0.283 -0.388  0.375 -0.218  0.454 -0.041  0.523 0.139  0.587 0.322  0.609 0.445  0.558 0.259  0.505 0.072  0.461 -0.116  0.417 -0.304  0.368 -0.492  0.330 -0.681  0.329 -0.873  0.458 -1.002  0.648 -1.026
2#ceb#Bouzy/g  0.483 0.658  0.511 0.832  0.515 1.009  0.487 1.183  0.423 1.347  0.265 1.386  0.120 1.286  -0.004 1.161  -0.111 1.020  -0.203 0.869  -0.263 0.703  -0.266 0.527  -0.188 0.372  -0.032 0.295  0.139 0.320  0.280 0.423  0.380 0.569  0.461 0.726  0.517 0.893  0.554 1.023  0.540 0.847  0.516 0.672  0.484 0.498  0.453 0.324  0.417 0.150  0.374 -0.021  0.338 -0.194  0.302 -0.368  0.266 -0.541  0.223 -0.712  0.177 -0.883  0.125 -1.052  0.046 -1.210  -0.051 -1.357  -0.180 -1.476  -0.334 -1.562  -0.505 -1.605  -0.672 -1.576  -0.792 -1.450  -0.820 -1.278  -0.815 -1.102  -0.771 -0.931  -0.718 -0.763  -0.651 -0.599  -0.577 -0.439  -0.488 -0.286  -0.398 -0.134  -0.295 0.010  -0.186 0.149  -0.076 0.288
2#ceb#Bouzy/s  0.703 0.912  0.736 1.045  0.761 1.179  0.774 1.315  0.726 1.427  0.596 1.401  0.468 1.354  0.342 1.302  0.224 1.233  0.106 1.165  -0.006 1.086  -0.116 1.005  -0.223 0.921  -0.321 0.826  -0.405 0.719  -0.469 0.601  -0.506 0.470  -0.477 0.337  -0.402 0.229  -0.299 0.141  -0.183 0.069  -0.058 0.016  0.070 -0.032  0.201 -0.073  0.326 -0.124  0.438 -0.201  0.530 -0.300  0.596 -0.416  0.616 -0.551  0.593 -0.685  0.548 -0.812  0.480 -0.930  0.394 -1.036  0.294 -1.126  0.180 -1.201  0.047 -1.235  -0.087 -1.257  -0.222 -1.263  -0.355 -1.232  -0.474 -1.167  -0.582 -1.085  -0.644 -0.966  -0.693 -0.839  -0.707 -0.703  -0.715 -0.568  -0.670 -0.439  -0.626 -0.310  -0.569 -0.187  -0.503 -0.067  -0.438 0.053
2#ceb#Bouzy/o  -0.201 0.659  -0.267 0.525  -0.330 0.388  -0.397 0.254  -0.463 0.120  -0.525 -0.017  -0.586 -0.153  -0.646 -0.291  -0.706 -0.428  -0.747 -0.572  -0.787 -0.716  -0.805 -0.864  -0.764 -1.008  -0.685 -1.133  -0.564 -1.210  -0.421 -1.252  -0.271 -1.260  -0.127 -1.233  0.014 -1.183  0.151 -1.123  0.287 -1.059  0.405 -0.970  0.515 -0.867  0.607 -0.752  0.686 -0.624  0.754 -0.492  0.800 -0.349  0.846 -0.207  0.857 -0.057  0.868 0.092  0.869 0.241  0.853 0.390  0.838 0.539  0.803 0.685  0.761 0.828  0.695 0.960  0.604 1.079  0.487 1.166  0.352 1.230  0.206 1.212  0.059 1.184  -0.076 1.119  -0.210 1.052  -0.322 0.955  -0.428 0.849  -0.520 0.732  -0.595 0.602  -0.647 0.464  -0.634 0.319  -0.591 0.175
2#ceb#Bouzy/f  0.706 1.092  0.730 1.215  0.747 1.340  0.751 1.465  0.711 1.578  0.595 1.577  0.489 1.508  0.404 1.415  0.332 1.313  0.267 1.206  0.220 1.089  0.176 0.971  0.141 0.850  0.107 0.729  0.079 0.606  0.051 0.484  0.024 0.361  -0.003 0.238  -0.030 0.115  -0.057 -0.007  -0.089 -0.129  -0.124 -0.250  -0.160 -0.370  -0.198 -0.490  -0.236 -0.610  -0.272 -0.730  -0.310 -0.851  -0.354 -0.968  -0.398 -1.086  -0.444 -1.203  -0.488 -1.321  -0.542 -1.434  -0.589 -1.431  -0.574 -1.306  -0.564 -1.181  -0.548 -1.056  -0.496 -0.941  -0.444 -0.827  -0.393 -0.712  -0.341 -0.597  -0.289 -0.483  -0.237 -0.368  -0.186 -0.254  -0.103 -0.175  0.018 -0.141  0.140 -0.108  0.260 -0.073  0.383 -0.045  0.505 -0.016  0.628 0.012
2#ceb#Bouzy/p  -0.026 0.880  -0.040 0.705  -0.079 0.534  -0.125 0.365  -0.171 0.195  -0.220 0.026  -0.274 -0.141  -0.328 -0.308  -0.394 -0.471  -0.459 -0.634  -0.521 -0.798  -0.582 -0.963  -0.646 -1.127  -0.710 -1.290  -0.775 -1.453  -0.846 -1.614  -0.822 -1.505  -0.771 -1.337  -0.725 -1.167  -0.671 -1.000  -0.614 -0.834  -0.559 -0.667  -0.505 -0.500  -0.444 -0.335  -0.381 -0.171  -0.316 -0.008  -0.242 0.151  -0.168 0.310  -0.087 0.466  0.000 0.619  0.087 0.771  0.195 0.909  0.306 1.046  0.436 1.163  0.578 1.265  0.747 1.300  0.904 1.241  1.017 1.111  1.075 0.947  1.097 0.774  1.088 0.601  1.032 0.434  0.939 0.286  0.826 0.152  0.692 0.040  0.538 -0.043  0.373 -0.102  0.201 -0.097  0.160 0.052  0.209 0.221
2#ceb#Bouzy/r  -0.244 0.079  -0.260 -0.022  -0.276 -0.123  -0.292 -0.224  -0.322 -0.322  -0.351 -0.420  -0.380 -0.518  -0.413 -0.615  -0.447 -0.712  -0.482 -0.808  -0.522 -0.902  -0.562 -0.996  -0.603 -1.090  -0.644 -1.184  -0.690 -1.274  -0.686 -1.173  -0.666 -1.072  -0.640 -0.973  -0.610 -0.875  -0.578 -0.778  -0.545 -0.681  -0.508 -0.586  -0.465 -0.493  -0.423 -0.400  -0.381 -0.307  -0.331 -0.217  -0.279 -0.129  -0.228 -0.041  -0.176 0.048  -0.120 0.133  -0.057 0.214  0.005 0.295  0.068 0.376  0.132 0.456  0.202 0.530  0.273 0.604  0.343 0.678  0.414 0.752  0.494 0.816  0.576 0.877  0.657 0.938  0.739 1.000  0.828 1.050  0.917 1.101  1.008 1.148  1.107 1.171  1.207 1.193  1.309 1.190  1.411 1.177  1.491 1.114
2#ceb#Bouzy/e  -0.822 0.212  -0.745 0.066  -0.606 -0.026  -0.448 -0.082  -0.283 -0.111  -0.117 -0.114  0.050 -0.095  0.210 -0.042  0.366 0.018  0.504 0.110  0.627 0.224  0.723 0.361  0.810 0.504  0.861 0.665  0.904 0.827  0.933 0.992  0.913 1.158  0.807 1.277  0.648 1.293  0.488 1.254  0.336 1.181  0.192 1.096  0.058 0.995  -0.077 0.894  -0.198 0.778  -0.314 0.657  -0.425 0.531  -0.536 0.405  -0.640 0.273  -0.732 0.133  -0.824 -0.008  -0.893 -0.160  -0.952 -0.318  -0.986 -0.480  -0.995 -0.648  -0.940 -0.802  -0.852 -0.942  -0.716 -1.040  -0.561 -1.099  -0.398 -1.140  -0.230 -1.140  -0.064 -1.129  0.095 -1.076  0.254 -1.020  0.411 -0.961  0.565 -0.893  0.709 -0.809  0.844 -0.709  0.962 -0.590  1.081 -0.471
2#ceb#Bouzy/t  0.632 1.823  0.614 1.673  0.589 1.523  0.566 1.373  0.524 1.228  0.479 1.083  0.434 0.938  0.389 0.794  0.344 0.649  0.296 0.505  0.243 0.363  0.190 0.221  0.137 0.079  0.078 -0.061  0.018 -0.200  -0.042 -0.339  -0.102 -0.478  -0.162 -0.618  -0.222 -0.757  -0.280 -0.897  -0.337 -1.037  -0.394 -1.178  -0.455 -1.316  -0.512 -1.457  -0.564 -1.599  -0.547 -1.506  -0.535 -1.355  -0.519 -1.204  -0.509 -1.053  -0.512 -0.902  -0.515 -0.750  -0.518 -0.599  -0.520 -0.447  -0.523 -0.296  -0.526 -0.144  -0.529 0.008  -0.532 0.159  -0.534 0.311  -0.468 0.394  -0.317 0.411  -0.166 0.425  -0.015 0.432  0.136 0.439  0.288 0.446  0.439 0.456  0.590 0.470  0.741 0.484  0.892 0.499  1.043 0.504  1.195 0.504
2#ceb#Bouzy/z  -0.048 1.219  0.008 1.358  0.150 1.437  0.311 1.457  0.470 1.431  0.619 1.365  0.720 1.241  0.753 1.085  0.711 0.931  0.630 0.790  0.525 0.666  0.402 0.560  0.267 0.470  0.125 0.390  -0.022 0.320  -0.168 0.249  -0.126 0.266  0.021 0.334  0.176 0.386  0.337 0.403  0.476 0.330  0.549 0.186  0.574 0.027  0.569 -0.135  0.539 -0.295  0.496 -0.452  0.448 -0.608  0.383 -0.757  0.308 -0.902  0.212 -1.032  0.101 -1.150  -0.032 -1.244  -0.179 -1.311  -0.335 -1.354  -0.498 -1.364  -0.658 -1.337  -0.804 -1.270  -0.905 -1.147  -0.947 -0.992  -0.946 -0.831  -0.921 -0.670  -0.862 -0.519  -0.795 -0.371  -0.707 -0.234  -0.612 -0.102  -0.508 0.022  -0.391 0.136  -0.271 0.246  -0.138 0.339  -0.004 0.433
2#ceb#Bouzy/e  -0.935 0.056  -0.843 -0.096  -0.710 -0.218  -0.550 -0.301  -0.376 -0.352  -0.196 -0.379  -0.014 -0.379  0.156 -0.319  0.309 -0.223  0.443 -0.101  0.526 0.060  0.591 0.229  0.631 0.407  0.666 0.585  0.694 0.765  0.707 0.946  0.707 1.128  0.685 1.309  0.629 1.477  0.487 1.564  0.328 1.510  0.190 1.391  0.071 1.253  -0.047 1.115  -0.148 0.964  -0.245 0.810  -0.341 0.655  -0.420 0.491  -0.499 0.327  -0.576 0.162  -0.645 -0.006  -0.699 -0.180  -0.749 -0.355  -0.784 -0.533  -0.791 -0.715  -0.767 -0.893  -0.715 -1.067  -0.592 -1.199  -0.437 -1.291  -0.264 -1.328  -0.085 -1.309  0.080 -1.231  0.226 -1.124  0.344 -0.987  0.454 -0.843  0.538 -0.681  0.622 -0.519  0.702 -0.356  0.782 -0.192  0.861 -0.028
2#ceb#Bouzy/l  0.568 1.619  0.540 1.554  0.512 1.489  0.484 1.424  0.456 1.359  0.428 1.294  0.400 1.230  0.372 1.165  0.346 1.099  0.321 1.033  0.296 0.967  0.272 0.901  0.247 0.834  0.223 0.768  0.198 0.702  0.173 0.636  0.149 0.570  0.126 0.503  0.103 0.436  0.079 0.370  0.056 0.303  0.033 0.236  0.009 0.170  -0.014 0.103  -0.037 0.036  -0.056 -0.032  -0.075 -0.100  -0.094 -0.168  -0.112 -0.236  -0.131 -0.304  -0.150 -0.372  -0.169 -0.440  -0.187 -0.508  -0.205 -0.577  -0.222 -0.645  -0.240 -0.714  -0.258 -0.782  -0.275 -0.850  -0.292 -0.919  -0.307 -0.988  -0.322 -1.057  -0.337 -1.126  -0.351 -1.195  -0.364 -1.264  -0.377 -1.334  -0.391 -1.403  -0.408 -1.472  -0.379 -1.495  -0.339 -1.438  -0.298 -1.380
2#ceb#Bouzy/s  0.719 1.590  0.586 1.596  0.458 1.553  0.342 1.486  0.228 1.413  0.129 1.321  0.030 1.229  -0.067 1.135  -0.163 1.039  -0.258 0.943  -0.327 0.827  -0.395 0.710  -0.454 0.589  -0.498 0.463  -0.486 0.334  -0.373 0.259  -0.253 0.201  -0.121 0.172  0.011 0.143  0.143 0.114  0.272 0.075  0.400 0.030  0.519 -0.032  0.632 -0.106  0.721 -0.205  0.798 -0.316  0.835 -0.446  0.849 -0.578  0.837 -0.712  0.782 -0.836  0.698 -0.940  0.595 -1.023  0.470 -1.075  0.341 -1.115  0.206 -1.123  0.072 -1.123  -0.061 -1.099  -0.191 -1.063  -0.316 -1.013  -0.435 -0.949  -0.550 -0.879  -0.643 -0.781  -0.725 -0.675  -0.786 -0.554  -0.813 -0.425  -0.813 -0.290  -0.809 -0.156  -0.760 -0.029  -0.712 0.097  -0.663 0.223
2#ceb#Bouzy/R  -0.425 0.373  -0.310 0.459  -0.219 0.643  -0.110 0.631  -0.161 0.432  -0.227 0.236  -0.292 0.040  -0.359 -0.155  -0.438 -0.346  -0.518 -0.536  -0.598 -0.726  -0.678 -0.917  -0.757 -1.107  -0.837 -1.298  -0.914 -1.489  -0.881 -1.353  -0.814 -1.158  -0.745 -0.964  -0.675 -0.770  -0.601 -0.577  -0.528 -0.384  -0.455 -0.191  -0.381 0.002  -0.306 0.194  -0.228 0.385  -0.135 0.570  -0.040 0.753  0.064 0.931  0.186 1.096  0.326 1.247  0.496 1.365  0.691 1.430  0.895 1.425  1.048 1.295  1.083 1.096  1.045 0.894  0.978 0.699  0.886 0.515  0.771 0.344  0.642 0.183  0.502 0.031  0.350 -0.108  0.188 -0.236  0.021 -0.357  0.019 -0.450  0.199 -0.551  0.364 -0.675  0.514 -0.817  0.639 -0.980  0.725 -1.127
2#ceb#Bouzy/a  0.565 0.196  0.604 0.379  0.636 0.562  0.649 0.748  0.633 0.933  0.587 1.113  0.498 1.273  0.351 1.375  0.173 1.373  0.010 1.283  -0.140 1.173  -0.281 1.051  -0.418 0.925  -0.547 0.791  -0.658 0.641  -0.769 0.491  -0.872 0.336  -0.966 0.175  -1.061 0.014  -1.123 -0.161  -1.180 -0.339  -1.199 -0.523  -1.186 -0.704  -1.093 -0.864  -0.934 -0.962  -0.752 -0.985  -0.567 -0.972  -0.384 -0.938  -0.215 -0.858  -0.058 -0.760  0.085 -0.641  0.214 -0.507  0.333 -0.364  0.434 -0.208  0.520 -0.042  0.601 0.126  0.667 0.300  0.723 0.478  0.677 0.411  0.609 0.238  0.553 0.060  0.502 -0.119  0.453 -0.299  0.420 -0.483  0.374 -0.663  0.346 -0.846  0.357 -1.031  0.457 -1.161  0.618 -1.072  0.756 -0.946
2#ceb#Bouzy/i  -0.135 0.167  -0.140 0.060  -0.172 -0.048  -0.208 -0.156  -0.249 -0.261  -0.291 -0.365  -0.334 -0.470  -0.379 -0.574  -0.423 -0.677  -0.464 -0.783  -0.504 -0.888  -0.548 -0.992  -0.594 -1.095  -0.632 -1.201  -0.671 -1.307  -0.671 -1.370  -0.604 -1.284  -0.547 -1.187  -0.488 -1.090  -0.429 -0.994  -0.371 -0.897  -0.313 -0.800  -0.254 -0.704  -0.202 -0.604  -0.157 -0.500  -0.112 -0.397  -0.066 -0.293  -0.021 -0.190  0.024 -0.087  0.070 0.017  0.115 0.120  0.160 0.224  0.206 0.327  0.251 0.430  0.296 0.534  0.342 0.637  0.387 0.740  0.432 0.844  0.478 0.947  0.523 1.051  0.568 1.154  0.614 1.257  0.659 1.361  0.704 1.464  0.720 1.565  0.680 1.487  0.673 1.375  0.673 1.262  0.692 1.151  0.712 1.039
2#ceb#Bouzy/s  0.622 0.891  0.640 1.026  0.647 1.161  0.623 1.294  0.596 1.427  0.500 1.513  0.377 1.493  0.277 1.401  0.176 1.311  0.074 1.222  -0.024 1.128  -0.117 1.029  -0.210 0.930  -0.291 0.822  -0.373 0.713  -0.412 0.583  -0.416 0.453  -0.366 0.330  -0.275 0.229  -0.159 0.160  -0.034 0.106  0.087 0.045  0.207 -0.018  0.312 -0.104  0.406 -0.200  0.477 -0.315  0.521 -0.443  0.551 -0.574  0.542 -0.710  0.512 -0.841  0.465 -0.968  0.385 -1.078  0.289 -1.172  0.177 -1.246  0.050 -1.295  -0.084 -1.309  -0.218 -1.305  -0.348 -1.267  -0.469 -1.207  -0.553 -1.101  -0.622 -0.987  -0.650 -0.854  -0.662 -0.722  -0.623 -0.592  -0.584 -0.462  -0.545 -0.332  -0.475 -0.216  -0.404 -0.100  -0.334 0.016  -0.264 0.132
2#ceb#Bouzy/i  -0.430 -0.073  -0.499 -0.142  -0.556 -0.220  -0.604 -0.305  -0.643 -0.394  -0.680 -0.484  -0.710 -0.577  -0.736 -0.671  -0.762 -0.765  -0.776 -0.861  -0.782 -0.958  -0.773 -1.055  -0.730 -1.141  -0.643 -1.168  -0.554 -1.136  -0.468 -1.091  -0.392 -1.029  -0.317 -0.967  -0.251 -0.896  -0.190 -0.820  -0.129 -0.744  -0.068 -0.668  -0.015 -0.587  0.038 -0.505  0.091 -0.423  0.144 -0.341  0.194 -0.258  0.242 -0.173  0.290 -0.088  0.339 -0.003  0.387 0.081  0.404 0.177  0.419 0.273  0.434 0.370  0.449 0.466  0.464 0.562  0.479 0.658  0.494 0.755  0.509 0.851  0.524 0.947  0.539 1.044  0.554 1.140  0.569 1.236  0.584 1.333  0.599 1.429  0.614 1.525  0.601 1.565  0.578 1.473  0.578 1.376  0.592 1.280
2#ceb#Bouzy/n  -0.204 0.997  -0.259 0.841  -0.315 0.684  -0.379 0.531  -0.442 0.378  -0.507 0.225  -0.572 0.073  -0.635 -0.080  -0.697 -0.234  -0.759 -0.388  -0.831 -0.538  -0.905 -0.686  -0.979 -0.834  -1.058 -0.980  -1.135 -1.018  -1.085 -0.860  -1.018 -0.708  -0.937 -0.564  -0.853 -0.421  -0.765 -0.281  -0.674 -0.142  -0.583 -0.003  -0.480 0.126  -0.373 0.253  -0.265 0.379  -0.149 0.497  -0.027 0.609  0.095 0.721  0.227 0.821  0.364 0.914  0.507 0.996  0.665 1.046  0.826 1.059  0.968 0.999  1.042 0.853  1.053 0.690  1.045 0.524  1.011 0.362  0.974 0.200  0.923 0.042  0.871 -0.115  0.817 -0.272  0.763 -0.429  0.707 -0.585  0.650 -0.740  0.598 -0.898  0.550 -1.057  0.604 -1.087  0.744 -0.999  0.880 -0.905
2#ceb#Bouzy/b  -0.001 1.406  -0.085 1.228  -0.169 1.049  -0.254 0.871  -0.343 0.694  -0.431 0.518  -0.523 0.343  -0.616 0.168  -0.710 -0.005  -0.805 -0.178  -0.890 -0.357  -0.863 -0.357  -0.746 -0.198  -0.619 -0.047  -0.492 0.104  -0.359 0.250  -0.219 0.390  -0.072 0.521  0.084 0.642  0.249 0.749  0.424 0.840  0.609 0.907  0.804 0.899  0.986 0.837  1.132 0.713  1.200 0.528  1.229 0.334  1.245 0.137  1.195 -0.054  1.142 -0.244  1.059 -0.423  0.975 -0.601  0.856 -0.760  0.728 -0.908  0.573 -1.030  0.402 -1.126  0.218 -1.198  0.023 -1.225  -0.173 -1.226  -0.368 -1.195  -0.538 -1.095  -0.666 -0.953  -0.760 -0.781  -0.784 -0.585  -0.778 -0.391  -0.727 -0.200  -0.677 -0.009  -0.584 0.165  -0.489 0.338  -0.393 0.510
2#ceb#Bouzy/r  -0.146 0.421  -0.175 0.308  -0.205 0.194  -0.237 0.081  -0.274 -0.031  -0.312 -0.142  -0.350 -0.253  -0.394 -0.362  -0.439 -0.471  -0.483 -0.580  -0.528 -0.688  -0.575 -0.796  -0.623 -0.904  -0.672 -1.011  -0.721 -1.117  -0.776 -1.221  -0.840 -1.276  -0.819 -1.162  -0.777 -1.052  -0.731 -0.944  -0.686 -0.836  -0.637 -0.729  -0.586 -0.623  -0.535 -0.517  -0.480 -0.413  -0.422 -0.311  -0.363 -0.209  -0.305 -0.107  -0.235 -0.012  -0.165 0.082  -0.094 0.176  -0.023 0.269  0.060 0.352  0.144 0.436  0.227 0.519  0.312 0.599  0.404 0.673  0.496 0.746  0.588 0.820  0.686 0.883  0.789 0.940  0.896 0.988  1.003 1.037  1.116 1.067  1.232 1.088  1.337 1.042  1.369 0.933  1.350 0.817  1.317 0.704  1.282 0.592
2#ceb#Bouzy/a  0.519 0.095  0.612 0.269  0.683 0.454  0.736 0.645  0.775 0.839  0.802 1.035  0.801 1.233  0.717 1.408  0.537 1.453  0.350 1.387  0.191 1.270  0.031 1.152  -0.114 1.018  -0.260 0.884  -0.403 0.747  -0.538 0.602  -0.661 0.447  -0.780 0.289  -0.899 0.130  -0.995 -0.042  -1.088 -0.217  -1.163 -0.399  -1.213 -0.591  -1.186 -0.781  -1.086 -0.942  -0.918 -1.033  -0.722 -1.051  -0.535 -0.986  -0.359 -0.898  -0.193 -0.790  -0.048 -0.656  0.076 -0.502  0.194 -0.343  0.285 -0.168  0.374 0.009  0.459 0.188  0.537 0.370  0.612 0.496  0.554 0.307  0.465 0.130  0.391 -0.054  0.316 -0.237  0.239 -0.420  0.161 -0.602  0.111 -0.793  0.093 -0.989  0.153 -1.170  0.316 -1.196  0.469 -1.071  0.604 -0.926
2#ceb#Bouzy/n  -0.264 0.930  -0.314 0.767  -0.368 0.606  -0.426 0.445  -0.484 0.285  -0.544 0.126  -0.605 -0.033  -0.665 -0.193  -0.726 -0.352  -0.785 -0.512  -0.843 -0.672  -0.903 -0.832  -0.967 -0.989  -1.047 -1.140  -1.061 -1.041  -0.994 -0.884  -0.930 -0.726  -0.859 -0.571  -0.777 -0.422  -0.694 -0.273  -0.599 -0.132  -0.499 0.007  -0.400 0.145  -0.292 0.276  -0.179 0.404  -0.067 0.533  0.051 0.655  0.178 0.769  0.305 0.882  0.440 0.985  0.585 1.075  0.734 1.155  0.898 1.203  1.004 1.094  1.048 0.932  1.032 0.762  1.009 0.593  0.974 0.426  0.938 0.260  0.887 0.097  0.837 -0.065  0.774 -0.224  0.708 -0.381  0.646 -0.540  0.588 -0.700  0.526 -0.858  0.460 -1.015  0.445 -1.081  0.560 -0.956  0.665 -0.822
