3#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
3#kai#kai2#yslee6/e  -0.819 0.256  -0.678 0.209  -0.545 0.146  -0.422 0.063  -0.280 0.040  -0.133 0.049  0.011 0.086  0.152 0.130  0.285 0.196  0.416 0.266  0.521 0.371  0.622 0.478  0.622 0.626  0.622 0.775  0.616 0.923  0.569 1.063  0.470 1.160  0.338 1.226  0.198 1.265  0.049 1.265  -0.092 1.219  -0.217 1.146  -0.322 1.041  -0.427 0.936  -0.492 0.806  -0.540 0.666  -0.595 0.528  -0.650 0.390  -0.675 0.246  -0.675 0.098  -0.675 -0.051  -0.675 -0.199  -0.655 -0.346  -0.626 -0.492  -0.585 -0.632  -0.496 -0.751  -0.407 -0.870  -0.306 -0.978  -0.200 -1.083  -0.082 -1.172  0.041 -1.254  0.189 -1.257  0.338 -1.256  0.482 -1.220  0.626 -1.183  0.767 -1.136  0.899 -1.072  1.023 -0.989  1.146 -0.907  1.270 -0.824
3#kai#kai2#yslee6/Q  -0.364 1.348  -0.479 1.182  -0.570 1.003  -0.630 0.811  -0.652 0.610  -0.681 0.410  -0.724 0.213  -0.724 0.010  -0.724 -0.193  -0.694 -0.392  -0.679 -0.593  -0.624 -0.787  -0.545 -0.972  -0.411 -1.124  -0.255 -1.253  -0.066 -1.315  0.131 -1.282  0.292 -1.160  0.403 -0.992  0.497 -0.815  0.563 -0.623  0.614 -0.427  0.644 -0.228  0.680 -0.030  0.680 0.173  0.680 0.376  0.644 0.574  0.608 0.771  0.548 0.964  0.456 1.144  0.330 1.302  0.147 1.348  -0.053 1.332  -0.212 1.212  -0.351 1.065  -0.451 0.893  -0.508 0.699  -0.541 0.499  -0.454 0.339  -0.296 0.212  -0.139 0.084  0.019 -0.043  0.177 -0.171  0.250 -0.352  0.316 -0.542  0.417 -0.717  0.495 -0.904  0.628 -1.054  0.747 -1.218  0.860 -1.387
3#kai#kai2#yslee6/u  -0.791 1.531  -0.791 1.359  -0.791 1.187  -0.811 1.017  -0.840 0.847  -0.868 0.677  -0.869 0.505  -0.869 0.333  -0.861 0.161  -0.833 -0.008  -0.805 -0.178  -0.764 -0.345  -0.709 -0.508  -0.655 -0.671  -0.600 -0.835  -0.538 -0.994  -0.442 -1.137  -0.304 -1.200  -0.147 -1.172  -0.052 -1.029  0.014 -0.872  0.055 -0.705  0.097 -0.538  0.139 -0.371  0.191 -0.207  0.237 -0.042  0.271 0.127  0.308 0.295  0.385 0.449  0.460 0.603  0.494 0.772  0.528 0.941  0.536 1.112  0.536 1.284  0.536 1.138  0.536 0.966  0.536 0.794  0.536 0.621  0.536 0.449  0.536 0.277  0.536 0.105  0.536 -0.067  0.536 -0.239  0.572 -0.407  0.614 -0.574  0.614 -0.746  0.614 -0.918  0.614 -1.090  0.614 -1.262  0.614 -1.435
3#kai#kai2#yslee6/e  -0.467 0.122  -0.418 -0.023  -0.362 -0.161  -0.226 -0.230  -0.089 -0.298  0.054 -0.340  0.207 -0.340  0.360 -0.340  0.488 -0.259  0.615 -0.174  0.715 -0.060  0.807 0.062  0.898 0.184  0.921 0.330  0.921 0.482  0.921 0.635  0.916 0.787  0.867 0.932  0.803 1.065  0.676 1.150  0.548 1.233  0.395 1.233  0.242 1.233  0.105 1.182  -0.023 1.097  -0.150 1.012  -0.277 0.927  -0.396 0.834  -0.488 0.711  -0.579 0.589  -0.670 0.466  -0.754 0.339  -0.837 0.211  -0.837 0.058  -0.837 -0.095  -0.837 -0.248  -0.837 -0.401  -0.808 -0.550  -0.771 -0.699  -0.712 -0.835  -0.604 -0.943  -0.496 -1.051  -0.374 -1.142  -0.247 -1.227  -0.106 -1.266  0.047 -1.266  0.200 -1.266  0.353 -1.266  0.499 -1.222  0.644 -1.173
3#kai#kai2#yslee6/\@  -0.537 -1.611  -0.515 -1.545  -0.493 -1.479  -0.471 -1.413  -0.449 -1.348  -0.427 -1.282  -0.405 -1.216  -0.383 -1.150  -0.362 -1.085  -0.340 -1.019  -0.318 -0.953  -0.296 -0.887  -0.274 -0.822  -0.252 -0.756  -0.230 -0.690  -0.208 -0.625  -0.186 -0.559  -0.164 -0.493  -0.142 -0.427  -0.121 -0.362  -0.099 -0.296  -0.077 -0.230  -0.055 -0.164  -0.033 -0.099  -0.011 -0.033  0.011 0.033  0.033 0.099  0.055 0.164  0.077 0.230  0.099 0.296  0.121 0.362  0.142 0.427  0.164 0.493  0.186 0.559  0.208 0.625  0.230 0.690  0.252 0.756  0.274 0.822  0.296 0.887  0.318 0.953  0.340 1.019  0.362 1.085  0.383 1.150  0.405 1.216  0.427 1.282  0.449 1.348  0.471 1.413  0.493 1.479  0.515 1.545  0.537 1.611
3#kai#kai2#yslee6/e  -0.283 -0.027  -0.150 -0.027  -0.018 -0.025  0.109 0.017  0.235 0.059  0.354 0.119  0.473 0.178  0.587 0.243  0.661 0.353  0.735 0.464  0.777 0.588  0.810 0.717  0.836 0.846  0.794 0.972  0.750 1.097  0.624 1.139  0.498 1.181  0.365 1.182  0.233 1.181  0.114 1.121  -0.005 1.062  -0.123 1.000  -0.229 0.920  -0.336 0.841  -0.442 0.761  -0.508 0.647  -0.567 0.528  -0.626 0.409  -0.660 0.280  -0.692 0.151  -0.715 0.021  -0.715 -0.112  -0.715 -0.245  -0.714 -0.377  -0.692 -0.509  -0.670 -0.640  -0.648 -0.771  -0.620 -0.899  -0.526 -0.993  -0.432 -1.087  -0.333 -1.174  -0.222 -1.248  -0.111 -1.322  0.022 -1.322  0.154 -1.322  0.285 -1.306  0.411 -1.263  0.532 -1.211  0.642 -1.137  0.753 -1.063
3#kai#kai2#yslee6/\@  -0.617 -1.582  -0.592 -1.517  -0.566 -1.453  -0.540 -1.389  -0.514 -1.324  -0.489 -1.260  -0.463 -1.195  -0.437 -1.131  -0.411 -1.067  -0.386 -1.002  -0.360 -0.938  -0.334 -0.874  -0.309 -0.809  -0.283 -0.745  -0.257 -0.681  -0.231 -0.616  -0.206 -0.552  -0.180 -0.488  -0.154 -0.423  -0.128 -0.359  -0.103 -0.294  -0.077 -0.230  -0.051 -0.166  -0.025 -0.101  0.000 -0.037  0.026 0.027  0.052 0.092  0.078 0.156  0.103 0.220  0.129 0.285  0.155 0.349  0.180 0.414  0.202 0.479  0.224 0.545  0.246 0.611  0.268 0.677  0.290 0.742  0.312 0.808  0.334 0.874  0.355 0.940  0.377 1.005  0.399 1.071  0.421 1.137  0.443 1.203  0.465 1.269  0.487 1.334  0.509 1.400  0.531 1.466  0.553 1.532  0.575 1.597
3#kai#kai2#yslee6/n  -0.388 0.992  -0.388 1.160  -0.388 1.329  -0.388 1.493  -0.442 1.333  -0.486 1.171  -0.519 1.006  -0.552 0.840  -0.556 0.672  -0.556 0.504  -0.556 0.335  -0.556 0.166  -0.556 -0.002  -0.556 -0.171  -0.556 -0.339  -0.556 -0.508  -0.556 -0.677  -0.556 -0.845  -0.556 -1.014  -0.556 -1.182  -0.556 -1.351  -0.531 -1.369  -0.478 -1.209  -0.405 -1.057  -0.330 -0.906  -0.282 -0.746  -0.249 -0.581  -0.214 -0.416  -0.160 -0.256  -0.107 -0.096  -0.054 0.064  0.039 0.204  0.125 0.348  0.178 0.508  0.256 0.656  0.349 0.797  0.503 0.824  0.657 0.787  0.776 0.667  0.882 0.540  0.935 0.380  0.955 0.215  0.955 0.046  0.955 -0.122  0.963 -0.290  1.016 -0.450  1.039 -0.614  1.039 -0.783  1.008 -0.947  0.955 -1.107
3#kai#kai2#yslee6/R  -0.327 1.831  -0.327 1.590  -0.327 1.350  -0.327 1.109  -0.327 0.869  -0.327 0.628  -0.327 0.388  -0.327 0.147  -0.327 -0.093  -0.297 -0.331  -0.282 -0.570  -0.282 -0.811  -0.245 -1.047  -0.237 -1.286  -0.193 -1.521  -0.193 -1.463  -0.193 -1.222  -0.193 -0.981  -0.193 -0.741  -0.193 -0.500  -0.193 -0.260  -0.193 -0.019  -0.193 0.221  -0.193 0.462  -0.193 0.702  -0.193 0.943  -0.193 1.183  -0.157 1.402  0.067 1.473  0.302 1.427  0.485 1.276  0.572 1.052  0.636 0.820  0.657 0.583  0.657 0.342  0.639 0.104  0.534 -0.107  0.374 -0.286  0.173 -0.411  -0.064 -0.450  -0.302 -0.428  -0.392 -0.263  -0.178 -0.295  -0.093 -0.460  0.048 -0.654  0.198 -0.840  0.368 -1.010  0.542 -1.175  0.753 -1.289  0.970 -1.389
3#kai#kai2#yslee6/e  -0.700 0.016  -0.652 -0.127  -0.597 -0.264  -0.472 -0.347  -0.347 -0.430  -0.199 -0.436  -0.049 -0.431  0.093 -0.383  0.236 -0.335  0.378 -0.288  0.509 -0.222  0.616 -0.116  0.722 -0.009  0.775 0.127  0.811 0.273  0.851 0.418  0.899 0.560  0.928 0.706  0.928 0.856  0.901 1.002  0.853 1.145  0.740 1.216  0.594 1.252  0.449 1.273  0.306 1.225  0.166 1.172  0.031 1.105  -0.103 1.038  -0.207 0.936  -0.290 0.811  -0.377 0.688  -0.467 0.568  -0.557 0.448  -0.609 0.315  -0.609 0.164  -0.609 0.014  -0.609 -0.136  -0.609 -0.286  -0.609 -0.437  -0.609 -0.587  -0.602 -0.736  -0.566 -0.882  -0.529 -1.028  -0.454 -1.156  -0.364 -1.276  -0.274 -1.396  -0.147 -1.465  -0.004 -1.512  0.145 -1.522  0.295 -1.522
3#kai#kai2#yslee6/\@  -1.491 -0.813  -1.429 -0.782  -1.366 -0.751  -1.304 -0.720  -1.242 -0.689  -1.180 -0.658  -1.118 -0.627  -1.056 -0.596  -0.994 -0.565  -0.932 -0.534  -0.870 -0.503  -0.808 -0.472  -0.746 -0.441  -0.683 -0.410  -0.621 -0.378  -0.559 -0.347  -0.497 -0.316  -0.435 -0.285  -0.375 -0.250  -0.318 -0.212  -0.260 -0.173  -0.202 -0.135  -0.144 -0.096  -0.087 -0.058  -0.029 -0.019  0.029 0.019  0.087 0.058  0.144 0.096  0.202 0.135  0.260 0.173  0.318 0.212  0.375 0.250  0.435 0.285  0.497 0.316  0.559 0.347  0.621 0.378  0.683 0.410  0.746 0.441  0.808 0.472  0.870 0.503  0.932 0.534  0.994 0.565  1.056 0.596  1.118 0.627  1.180 0.658  1.242 0.689  1.304 0.720  1.366 0.751  1.429 0.782  1.491 0.813
3#kai#kai2#yslee6/a  -0.581 0.601  -0.409 0.679  -0.237 0.757  -0.064 0.836  0.108 0.914  0.280 0.992  0.255 1.086  0.098 1.191  -0.060 1.089  -0.217 0.984  -0.374 0.879  -0.476 0.725  -0.561 0.556  -0.683 0.414  -0.817 0.280  -0.887 0.107  -0.946 -0.072  -1.004 -0.252  -1.004 -0.441  -1.004 -0.631  -1.004 -0.820  -0.955 -0.994  -0.850 -1.152  -0.701 -1.264  -0.536 -1.344  -0.347 -1.344  -0.186 -1.250  -0.057 -1.124  0.003 -0.945  0.110 -0.790  0.223 -0.638  0.303 -0.469  0.359 -0.289  0.405 -0.105  0.451 0.078  0.497 0.262  0.543 0.445  0.589 0.629  0.603 0.816  0.624 0.876  0.684 0.697  0.722 0.511  0.759 0.326  0.772 0.138  0.772 -0.051  0.812 -0.235  0.859 -0.418  0.964 -0.576  1.051 -0.742  1.110 -0.922
3#kai#kai2#yslee6/\@  -0.581 0.601  -0.409 0.679  -0.237 0.757  -0.064 0.836  0.108 0.914  0.280 0.992  0.255 1.086  0.098 1.191  -0.060 1.089  -0.217 0.984  -0.374 0.879  -0.476 0.725  -0.561 0.556  -0.683 0.414  -0.817 0.280  -0.887 0.107  -0.946 -0.072  -1.004 -0.252  -1.004 -0.441  -1.004 -0.631  -1.004 -0.820  -0.955 -0.994  -0.850 -1.152  -0.701 -1.264  -0.536 -1.344  -0.347 -1.344  -0.186 -1.250  -0.057 -1.124  0.003 -0.945  0.110 -0.790  0.223 -0.638  0.303 -0.469  0.359 -0.289  0.405 -0.105  0.451 0.078  0.497 0.262  0.543 0.445  0.589 0.629  0.603 0.816  0.624 0.876  0.684 0.697  0.722 0.511  0.759 0.326  0.772 0.138  0.772 -0.051  0.812 -0.235  0.859 -0.418  0.964 -0.576  1.051 -0.742  1.110 -0.922
3#kai#kai2#yslee6/d  -0.848 -0.891  -0.782 -0.694  -0.658 -0.539  -0.490 -0.417  -0.321 -0.295  -0.152 -0.173  0.016 -0.052  -0.005 0.041  -0.207 0.041  -0.372 -0.084  -0.519 -0.231  -0.654 -0.388  -0.751 -0.571  -0.833 -0.763  -0.848 -0.968  -0.833 -1.173  -0.699 -1.303  -0.495 -1.309  -0.317 -1.211  -0.176 -1.060  -0.080 -0.875  0.045 -0.709  0.113 -0.513  0.205 -0.328  0.275 -0.135  0.330 0.066  0.387 0.266  0.437 0.468  0.491 0.668  0.549 0.868  0.570 1.074  0.570 1.282  0.570 1.490  0.570 1.698  0.563 1.893  0.417 1.758  0.362 1.558  0.334 1.355  0.289 1.152  0.280 0.945  0.254 0.738  0.239 0.531  0.239 0.323  0.239 0.115  0.263 -0.090  0.286 -0.295  0.286 -0.503  0.286 -0.711  0.286 -0.919  0.286 -1.127
3#kai#kai2#yslee6/R  -0.526 1.508  -0.482 1.272  -0.482 1.028  -0.470 0.786  -0.438 0.546  -0.438 0.302  -0.438 0.059  -0.438 -0.185  -0.395 -0.424  -0.378 -0.665  -0.350 -0.906  -0.290 -1.141  -0.262 -1.382  -0.262 -1.625  -0.389 -1.489  -0.394 -1.247  -0.394 -1.004  -0.394 -0.760  -0.390 -0.517  -0.379 -0.274  -0.368 -0.030  -0.357 0.213  -0.346 0.456  -0.335 0.699  -0.324 0.943  -0.313 1.186  -0.252 1.413  -0.036 1.464  0.202 1.437  0.425 1.341  0.595 1.179  0.661 0.954  0.705 0.718  0.705 0.475  0.674 0.233  0.651 -0.007  0.524 -0.212  0.371 -0.400  0.142 -0.427  -0.085 -0.354  -0.250 -0.181  -0.223 -0.031  0.002 -0.090  0.205 -0.225  0.393 -0.378  0.565 -0.550  0.737 -0.722  0.909 -0.894  1.090 -1.053  1.321 -1.042
3#kai#kai2#yslee6/o  -0.139 0.944  -0.285 0.896  -0.425 0.834  -0.563 0.766  -0.651 0.647  -0.719 0.509  -0.772 0.365  -0.820 0.219  -0.865 0.073  -0.865 -0.081  -0.865 -0.235  -0.865 -0.388  -0.853 -0.540  -0.805 -0.686  -0.704 -0.800  -0.594 -0.908  -0.474 -1.004  -0.354 -1.100  -0.225 -1.176  -0.074 -1.206  0.077 -1.232  0.231 -1.232  0.385 -1.232  0.517 -1.155  0.649 -1.076  0.751 -0.969  0.820 -0.832  0.867 -0.687  0.897 -0.536  0.916 -0.384  0.916 -0.231  0.910 -0.078  0.879 0.073  0.849 0.224  0.800 0.370  0.722 0.500  0.630 0.623  0.529 0.738  0.420 0.847  0.309 0.953  0.181 1.039  0.039 1.076  -0.115 1.076  -0.268 1.076  -0.320 0.993  -0.290 0.842  -0.240 0.700  -0.154 0.572  -0.050 0.460  0.059 0.351
3#kai#kai2#yslee6/c  0.636 1.128  0.566 1.175  0.495 1.223  0.424 1.267  0.339 1.267  0.254 1.267  0.171 1.251  0.091 1.224  0.011 1.197  -0.049 1.137  -0.109 1.077  -0.169 1.017  -0.221 0.950  -0.264 0.877  -0.308 0.804  -0.352 0.731  -0.395 0.658  -0.405 0.576  -0.405 0.491  -0.410 0.407  -0.427 0.324  -0.444 0.240  -0.460 0.157  -0.474 0.074  -0.474 -0.011  -0.474 -0.096  -0.462 -0.180  -0.446 -0.263  -0.429 -0.347  -0.412 -0.430  -0.381 -0.507  -0.338 -0.580  -0.294 -0.653  -0.250 -0.726  -0.206 -0.799  -0.140 -0.849  -0.067 -0.893  0.005 -0.936  0.078 -0.980  0.151 -1.023  0.232 -1.050  0.312 -1.077  0.394 -1.099  0.478 -1.113  0.562 -1.126  0.645 -1.140  0.729 -1.154  0.813 -1.162  0.898 -1.162  0.983 -1.162
3#kai#kai2#yslee6/\@  -0.732 -1.523  -0.693 -1.465  -0.655 -1.407  -0.616 -1.349  -0.577 -1.290  -0.539 -1.232  -0.500 -1.174  -0.461 -1.116  -0.422 -1.058  -0.384 -1.000  -0.345 -0.942  -0.306 -0.884  -0.268 -0.826  -0.229 -0.768  -0.190 -0.710  -0.152 -0.652  -0.113 -0.594  -0.089 -0.529  -0.070 -0.461  -0.051 -0.394  -0.032 -0.327  -0.012 -0.260  0.007 -0.193  0.026 -0.126  0.045 -0.059  0.064 0.008  0.083 0.075  0.103 0.142  0.122 0.210  0.141 0.277  0.160 0.344  0.179 0.411  0.198 0.478  0.218 0.545  0.237 0.612  0.256 0.679  0.275 0.746  0.294 0.814  0.314 0.881  0.333 0.948  0.352 1.015  0.371 1.082  0.390 1.149  0.409 1.216  0.429 1.283  0.448 1.350  0.467 1.417  0.486 1.485  0.505 1.552  0.524 1.619
3#kai#kai2#yslee6/k  -0.193 2.354  -0.196 2.193  -0.222 2.033  -0.247 1.874  -0.267 1.713  -0.287 1.553  -0.292 1.392  -0.292 1.230  -0.292 1.069  -0.292 0.907  -0.292 0.746  -0.292 0.584  -0.269 0.425  -0.242 0.266  -0.242 0.104  -0.242 -0.057  -0.242 -0.219  -0.242 -0.380  -0.242 -0.542  -0.193 -0.695  -0.193 -0.857  -0.193 -1.018  -0.193 -1.180  -0.193 -1.224  -0.181 -1.066  -0.098 -0.927  -0.008 -0.793  0.093 -0.667  0.194 -0.541  0.295 -0.415  0.396 -0.289  0.496 -0.163  0.597 -0.036  0.698 0.090  0.665 0.086  0.535 -0.008  0.381 -0.059  0.229 -0.113  0.085 -0.185  -0.060 -0.258  -0.209 -0.316  -0.319 -0.363  -0.183 -0.451  -0.032 -0.506  0.102 -0.595  0.232 -0.692  0.342 -0.807  0.431 -0.942  0.528 -1.070  0.642 -1.184
3#kai#kai2#yslee6/R  -0.451 1.655  -0.415 1.700  -0.334 1.483  -0.316 1.254  -0.316 1.022  -0.316 0.790  -0.346 0.561  -0.361 0.330  -0.361 0.098  -0.386 -0.132  -0.406 -0.362  -0.406 -0.594  -0.406 -0.826  -0.406 -1.058  -0.361 -1.283  -0.361 -1.515  -0.393 -1.423  -0.406 -1.192  -0.406 -0.960  -0.373 -0.732  -0.361 -0.501  -0.356 -0.269  -0.334 -0.038  -0.313 0.193  -0.291 0.424  -0.269 0.655  -0.248 0.886  -0.225 1.116  -0.016 1.216  0.211 1.251  0.436 1.229  0.616 1.083  0.718 0.883  0.718 0.651  0.718 0.419  0.681 0.193  0.580 -0.016  0.494 -0.232  0.302 -0.361  0.093 -0.457  -0.123 -0.374  -0.171 -0.234  0.036 -0.318  0.204 -0.477  0.382 -0.624  0.526 -0.806  0.683 -0.976  0.826 -1.159  0.930 -1.172  1.078 -0.998
3#kai#kai2#yslee6/u  -0.638 1.280  -0.760 1.198  -0.883 1.116  -0.930 0.976  -0.965 0.835  -0.965 0.687  -0.965 0.540  -0.965 0.393  -0.965 0.245  -0.965 0.098  -0.965 -0.050  -0.965 -0.197  -0.943 -0.341  -0.897 -0.481  -0.850 -0.621  -0.803 -0.760  -0.702 -0.866  -0.598 -0.970  -0.472 -1.040  -0.332 -1.087  -0.192 -1.055  -0.057 -1.002  0.031 -0.884  0.120 -0.766  0.190 -0.640  0.219 -0.495  0.248 -0.351  0.289 -0.210  0.344 -0.073  0.398 0.064  0.453 0.200  0.508 0.337  0.563 0.474  0.613 0.613  0.660 0.752  0.707 0.892  0.753 1.032  0.754 0.889  0.754 0.741  0.754 0.594  0.754 0.447  0.754 0.299  0.754 0.152  0.779 0.007  0.808 -0.138  0.837 -0.282  0.873 -0.425  0.909 -0.568  0.953 -0.709  0.999 -0.849
3#kai#kai2#yslee6/n  -0.702 0.729  -0.702 0.585  -0.702 0.442  -0.702 0.299  -0.705 0.156  -0.733 0.016  -0.761 -0.124  -0.782 -0.265  -0.782 -0.409  -0.782 -0.552  -0.782 -0.695  -0.782 -0.838  -0.782 -0.981  -0.782 -1.084  -0.782 -0.941  -0.757 -0.803  -0.703 -0.670  -0.650 -0.537  -0.597 -0.404  -0.544 -0.271  -0.491 -0.138  -0.441 -0.004  -0.396 0.132  -0.351 0.268  -0.306 0.403  -0.260 0.539  -0.207 0.671  -0.121 0.785  -0.035 0.900  0.064 1.000  0.183 1.079  0.309 1.109  0.445 1.064  0.544 0.971  0.624 0.852  0.682 0.722  0.727 0.587  0.788 0.458  0.852 0.330  0.909 0.199  0.955 0.063  1.000 -0.073  1.045 -0.209  1.090 -0.345  1.131 -0.481  1.131 -0.624  1.131 -0.767  1.131 -0.911  1.165 -1.048  1.211 -1.184
3#kai#kai2#yslee6/S  0.472 0.860  0.531 0.948  0.554 1.047  0.521 1.140  0.446 1.215  0.349 1.250  0.245 1.271  0.139 1.270  0.038 1.236  -0.053 1.182  -0.140 1.121  -0.225 1.057  -0.305 0.988  -0.380 0.913  -0.455 0.838  -0.530 0.762  -0.595 0.679  -0.639 0.586  -0.639 0.479  -0.639 0.373  -0.613 0.273  -0.566 0.178  -0.488 0.108  -0.403 0.045  -0.309 -0.005  -0.213 -0.051  -0.112 -0.084  -0.011 -0.118  0.083 -0.166  0.174 -0.221  0.268 -0.269  0.367 -0.308  0.457 -0.360  0.532 -0.435  0.554 -0.532  0.554 -0.639  0.546 -0.744  0.526 -0.848  0.483 -0.941  0.407 -1.016  0.322 -1.078  0.234 -1.137  0.145 -1.196  0.057 -1.255  -0.039 -1.300  -0.139 -1.333  -0.240 -1.369  -0.335 -1.416  -0.427 -1.468  -0.515 -1.527
3#kai#kai2#yslee6/h  -0.294 2.119  -0.294 1.970  -0.336 1.828  -0.349 1.681  -0.349 1.532  -0.349 1.383  -0.349 1.234  -0.349 1.084  -0.349 0.935  -0.349 0.786  -0.349 0.637  -0.349 0.488  -0.346 0.339  -0.310 0.194  -0.294 0.047  -0.294 -0.102  -0.294 -0.251  -0.294 -0.400  -0.294 -0.549  -0.276 -0.695  -0.239 -0.839  -0.239 -0.988  -0.239 -1.137  -0.268 -1.281  -0.294 -1.294  -0.294 -1.145  -0.294 -0.996  -0.294 -0.847  -0.267 -0.701  -0.231 -0.556  -0.195 -0.411  -0.159 -0.267  -0.116 -0.125  -0.039 0.003  0.038 0.131  0.120 0.255  0.242 0.328  0.387 0.352  0.533 0.334  0.653 0.266  0.689 0.122  0.733 -0.021  0.756 -0.166  0.757 -0.315  0.793 -0.460  0.811 -0.607  0.811 -0.756  0.797 -0.903  0.756 -1.045  0.756 -1.194
3#kai#kai2#yslee6/a  0.145 1.178  -0.022 1.178  -0.188 1.178  -0.347 1.127  -0.491 1.051  -0.609 0.933  -0.714 0.808  -0.767 0.650  -0.825 0.494  -0.887 0.339  -0.949 0.184  -0.960 0.019  -0.960 -0.147  -0.960 -0.314  -0.949 -0.480  -0.908 -0.641  -0.866 -0.803  -0.813 -0.961  -0.713 -1.083  -0.575 -1.175  -0.422 -1.239  -0.263 -1.287  -0.096 -1.287  0.028 -1.208  0.121 -1.069  0.200 -0.923  0.274 -0.774  0.334 -0.619  0.374 -0.457  0.419 -0.296  0.471 -0.138  0.485 0.026  0.485 0.193  0.485 0.360  0.485 0.526  0.485 0.693  0.459 0.857  0.419 1.018  0.400 1.002  0.400 0.835  0.427 0.673  0.479 0.515  0.552 0.365  0.626 0.216  0.727 0.086  0.845 -0.032  0.934 -0.168  0.986 -0.326  1.073 -0.468  1.165 -0.607
3#kai#kai2#yslee6/l  0.012 1.713  -0.011 1.646  -0.032 1.579  -0.032 1.508  -0.032 1.437  -0.032 1.366  -0.032 1.295  -0.032 1.225  -0.032 1.154  -0.032 1.083  -0.032 1.012  -0.032 0.941  -0.032 0.870  -0.032 0.800  -0.032 0.729  -0.032 0.658  -0.032 0.587  -0.032 0.516  -0.032 0.445  -0.032 0.374  -0.032 0.304  -0.032 0.233  -0.032 0.162  -0.032 0.091  -0.032 0.020  -0.030 -0.051  -0.023 -0.121  -0.015 -0.191  -0.007 -0.262  0.001 -0.332  0.009 -0.403  0.012 -0.473  0.012 -0.544  0.012 -0.615  0.012 -0.686  0.012 -0.757  0.027 -0.825  0.049 -0.892  0.055 -0.962  0.055 -1.033  0.055 -1.104  0.055 -1.175  0.055 -1.246  0.055 -1.316  0.055 -1.387  0.055 -1.458  0.055 -1.529  0.055 -1.533  0.055 -1.462  0.055 -1.392
3#kai#kai2#yslee6/l  0.112 1.693  0.112 1.624  0.112 1.554  0.112 1.484  0.112 1.415  0.108 1.346  0.091 1.278  0.074 1.211  0.065 1.142  0.065 1.072  0.065 1.003  0.055 0.934  0.041 0.866  0.027 0.798  0.019 0.729  0.019 0.659  0.019 0.590  0.019 0.520  0.014 0.451  0.001 0.383  -0.013 0.314  -0.027 0.246  -0.028 0.177  -0.028 0.107  -0.028 0.037  -0.028 -0.032  -0.028 -0.102  -0.028 -0.172  -0.028 -0.241  -0.028 -0.311  -0.028 -0.380  -0.028 -0.450  -0.028 -0.520  -0.028 -0.589  -0.028 -0.659  -0.028 -0.729  -0.028 -0.798  -0.028 -0.868  -0.028 -0.938  -0.028 -1.007  -0.028 -1.077  -0.028 -1.146  -0.043 -1.214  -0.065 -1.280  -0.075 -1.348  -0.075 -1.417  -0.075 -1.487  -0.078 -1.556  -0.100 -1.622  -0.122 -1.688
3#kai#kai2#yslee6/T  -1.072 0.896  -0.976 0.832  -0.875 0.777  -0.771 0.728  -0.660 0.700  -0.546 0.690  -0.431 0.690  -0.316 0.690  -0.200 0.690  -0.085 0.690  0.030 0.690  0.145 0.690  0.260 0.690  0.375 0.690  0.491 0.690  0.606 0.690  0.721 0.690  0.831 0.661  0.796 0.673  0.690 0.717  0.580 0.717  0.466 0.697  0.353 0.677  0.240 0.657  0.126 0.637  0.013 0.617  -0.040 0.546  -0.027 0.432  0.001 0.320  0.001 0.205  0.001 0.090  0.001 -0.025  -0.013 -0.138  -0.040 -0.249  -0.040 -0.364  -0.040 -0.479  -0.040 -0.594  -0.040 -0.709  -0.040 -0.824  -0.048 -0.939  -0.065 -1.053  -0.081 -1.167  -0.081 -1.282  -0.081 -1.397  -0.081 -1.512  -0.081 -1.627  -0.062 -1.740  -0.032 -1.851  0.010 -1.952  0.125 -1.952
